## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS /home/dnanexus/in/bait_intervals/xgen_plus_spikein.GRCh38.interval_list --TARGET_INTERVALS /home/dnanexus/in/target_intervals/xgen_plus_spikein.GRCh38.interval_list --INPUT /home/dnanexus/in/bam/1018966_23153_0_0.bqsr.bam --OUTPUT 1018966_23153_0_0.bqsr.HsMetrics.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --PER_TARGET_COVERAGE 1018966_23153_0_0.bqsr-PerTargetCoverage.txt --PER_BASE_COVERAGE 1018966_23153_0_0.bqsr-PerBaseCoverage.txt --MINIMUM_MAPPING_QUALITY 1 --MINIMUM_BASE_QUALITY 1 --REFERENCE_SEQUENCE /home/dnanexus/in/reference/GRCh38_full_analysis_set_plus_decoy_hla.fa --NEAR_DISTANCE 250 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 24 03:10:16 UTC 2021

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
xgen_plus_spikein	38997831	1	4398652022	2345216134	512018330	0.929434	0.070566	0.652245	112.792222	0.603225	0.429074	50.013421	128562043	3.315753	3.424958	3.546298	3.679771	3.821738	4.899233	38997831	3217346917	95945982	95945982	7291894632	81267820	81178184	7255886486	6148711124	3128758812	1	0.847016	0.998897	80.227655	74	1731	0	0.009061	0.15259	0.000001	0.065565	0	0.067354	0.283289	1.637299	0.990311	0.989454	0.986483	0.978941	0.950288	0.887555	0.792298	0.254475	10.276618	0.440624	0.989122	20			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	377850	0
1	33404	0
2	22380	0
3	16335	3959
4	14737	180099
5	13156	749636
6	12358	406261
7	12031	1605970
8	12002	2813148
9	12896	2326816
10	13970	2251151
11	15935	1623570
12	17970	3999380
13	20830	3232058
14	23963	3174420
15	27570	5665499
16	33755	3127181
17	38626	3308809
18	46813	3929688
19	54663	1311231
20	62464	837481
21	72576	1078236
22	80930	840748
23	92518	4764332
24	103635	2120575
25	115446	9368462
26	128191	8014217
27	140005	8177452
28	153686	7611595
29	167954	10241923
30	182367	20420683
31	195941	79682969
32	208684	104263893
33	224053	238379274
34	238145	286731147
35	251602	382961427
36	264648	244925066
37	279561	160779575
38	293394	86494552
39	308080	105568475
40	322167	294994645
41	333024	374736802
42	345695	287242976
43	357071	257845419
44	369216	53680943
45	379512	28224864
46	390257	0
47	397916	0
48	405072	0
49	414881	0
50	422987	0
51	430889	0
52	437587	0
53	446325	0
54	450515	0
55	457790	0
56	461463	0
57	465233	0
58	466442	0
59	470255	0
60	473554	0
61	476288	0
62	476289	0
63	476547	0
64	477208	0
65	476051	0
66	475117	0
67	473927	0
68	473142	0
69	470218	0
70	465422	0
71	460374	0
72	457125	0
73	453696	0
74	449995	0
75	445104	0
76	442056	0
77	437602	0
78	433958	0
79	427415	0
80	423837	0
81	418094	0
82	411650	0
83	406244	0
84	398506	0
85	391920	0
86	385600	0
87	380132	0
88	373523	0
89	364498	0
90	359441	0
91	353521	0
92	346173	0
93	339066	0
94	332517	0
95	326135	0
96	319305	0
97	311590	0
98	304240	0
99	297352	0
100	291424	0
101	284481	0
102	278636	0
103	271146	0
104	264705	0
105	258753	0
106	251819	0
107	245124	0
108	238044	0
109	231901	0
110	225760	0
111	218334	0
112	212399	0
113	208115	0
114	202399	0
115	197185	0
116	191874	0
117	186873	0
118	181036	0
119	175537	0
120	170227	0
121	165683	0
122	160675	0
123	155940	0
124	150377	0
125	146177	0
126	142672	0
127	137712	0
128	133838	0
129	129966	0
130	125419	0
131	121292	0
132	117865	0
133	114276	0
134	111055	0
135	107143	0
136	103949	0
137	99444	0
138	96874	0
139	94051	0
140	90700	0
141	87376	0
142	84661	0
143	81655	0
144	78690	0
145	76127	0
146	73781	0
147	70981	0
148	68423	0
149	65769	0
150	63526	0
151	61901	0
152	59209	0
153	58018	0
154	55653	0
155	53619	0
156	52573	0
157	51058	0
158	48851	0
159	47548	0
160	45264	0
161	43848	0
162	42080	0
163	40728	0
164	38728	0
165	37229	0
166	35896	0
167	35020	0
168	33773	0
169	32400	0
170	31527	0
171	29985	0
172	28913	0
173	27867	0
174	26790	0
175	25547	0
176	24557	0
177	23873	0
178	22769	0
179	22239	0
180	21271	0
181	20849	0
182	20091	0
183	19090	0
184	18254	0
185	17742	0
186	17285	0
187	16768	0
188	16240	0
189	15508	0
190	15116	0
191	14432	0
192	13763	0
193	13330	0
194	12773	0
195	12226	0
196	11969	0
197	11667	0
198	11078	0
199	10928	0
200	434266	0

