2021-06-10 22:05:34 startup packages remove
2021-06-10 22:05:34 status installed linux-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:34 remove linux-virtual:amd64 5.4.0.74.77 <none>
2021-06-10 22:05:34 status half-configured linux-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:34 status half-installed linux-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:34 status config-files linux-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:34 status not-installed linux-virtual:amd64 <none>
2021-06-10 22:05:34 status installed linux-headers-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:34 remove linux-headers-virtual:amd64 5.4.0.74.77 <none>
2021-06-10 22:05:34 status half-configured linux-headers-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:34 status half-installed linux-headers-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:34 status config-files linux-headers-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:34 status not-installed linux-headers-virtual:amd64 <none>
2021-06-10 22:05:34 status installed linux-headers-generic:amd64 5.4.0.74.77
2021-06-10 22:05:34 remove linux-headers-generic:amd64 5.4.0.74.77 <none>
2021-06-10 22:05:34 status half-configured linux-headers-generic:amd64 5.4.0.74.77
2021-06-10 22:05:34 status half-installed linux-headers-generic:amd64 5.4.0.74.77
2021-06-10 22:05:34 status config-files linux-headers-generic:amd64 5.4.0.74.77
2021-06-10 22:05:34 status not-installed linux-headers-generic:amd64 <none>
2021-06-10 22:05:34 status installed linux-headers-5.4.0-74-generic:amd64 5.4.0-74.83
2021-06-10 22:05:34 remove linux-headers-5.4.0-74-generic:amd64 5.4.0-74.83 <none>
2021-06-10 22:05:34 status half-configured linux-headers-5.4.0-74-generic:amd64 5.4.0-74.83
2021-06-10 22:05:34 status half-installed linux-headers-5.4.0-74-generic:amd64 5.4.0-74.83
2021-06-10 22:05:34 status config-files linux-headers-5.4.0-74-generic:amd64 5.4.0-74.83
2021-06-10 22:05:34 status not-installed linux-headers-5.4.0-74-generic:amd64 <none>
2021-06-10 22:05:34 status installed linux-headers-5.4.0-74:all 5.4.0-74.83
2021-06-10 22:05:34 remove linux-headers-5.4.0-74:all 5.4.0-74.83 <none>
2021-06-10 22:05:34 status half-configured linux-headers-5.4.0-74:all 5.4.0-74.83
2021-06-10 22:05:34 status half-installed linux-headers-5.4.0-74:all 5.4.0-74.83
2021-06-10 22:05:35 status config-files linux-headers-5.4.0-74:all 5.4.0-74.83
2021-06-10 22:05:35 status not-installed linux-headers-5.4.0-74:all <none>
2021-06-10 22:05:35 status installed linux-image-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:35 remove linux-image-virtual:amd64 5.4.0.74.77 <none>
2021-06-10 22:05:35 status half-configured linux-image-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:35 status half-installed linux-image-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:35 status config-files linux-image-virtual:amd64 5.4.0.74.77
2021-06-10 22:05:35 status not-installed linux-image-virtual:amd64 <none>
2021-06-10 22:05:35 status installed linux-image-5.4.0-74-generic:amd64 5.4.0-74.83
2021-06-10 22:05:35 remove linux-image-5.4.0-74-generic:amd64 5.4.0-74.83 <none>
2021-06-10 22:05:35 status half-configured linux-image-5.4.0-74-generic:amd64 5.4.0-74.83
2021-06-10 22:05:35 status half-installed linux-image-5.4.0-74-generic:amd64 5.4.0-74.83
2021-06-10 22:05:35 status config-files linux-image-5.4.0-74-generic:amd64 5.4.0-74.83
2021-06-10 22:05:35 status installed linux-modules-5.4.0-74-generic:amd64 5.4.0-74.83
