State,Last modified,Size,Name,ID,
closed,2022-01-22 01:01:26,3.62 KB,1193853_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G7bpgBQJg2G5bfY74ZgZqP55,
closed,2022-01-22 01:01:26,5.34 KB,1193853_23153_0_0.bqsr.HsMetrics.txt,file-G7bpgF8Jg2G47bXb4f1g9x0p,
closed,2022-01-22 01:01:26,743.45 MB,1193853_23153_0_0.bqsr-PerBaseCoverage.txt,file-G7bpgG8Jg2GPzPPf4fjZgP5q,
closed,2022-01-22 01:01:26,16.68 MB,1193853_23153_0_0.bqsr-PerTargetCoverage.txt,file-G7bpgFjJg2GKqxQg4fVpvb5z,
closed,2022-01-12 19:57:02,755.46 MB,1169863_23153_0_0.bqsr-PerBaseCoverage.txt,file-G7PjJfQJ9jb8v7B1F9fZp9K7,
closed,2022-01-12 19:57:02,5.56 KB,1169863_23153_0_0.bqsr.HsMetrics.txt,file-G7PjJb8J9jb87Y1B2bvxYb81,
closed,2022-01-12 19:57:02,4.33 KB,1169863_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G7PjJZQJ9jb195PVF866QK2B,
closed,2022-01-12 19:57:02,16.91 MB,1169863_23153_0_0.bqsr-PerTargetCoverage.txt,file-G7PjJbjJ9jb0q3gXKp87q654,
closed,2022-01-12 19:37:15,3.64 KB,1170618_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G7Pj4FjJQb2k0704FXZp0b6K,
closed,2022-01-12 19:37:15,5.43 KB,1170618_23153_0_0.bqsr.HsMetrics.txt,file-G7Pj4G8JQb2gBGG52f83Xgqp,
closed,2022-01-12 19:37:15,744.72 MB,1170618_23153_0_0.bqsr-PerBaseCoverage.txt,file-G7Pj4JQJQb2YK6j5Kpf2Fq7q,
closed,2022-01-12 19:37:15,16.74 MB,1170618_23153_0_0.bqsr-PerTargetCoverage.txt,file-G7Pj4J0JQb2kpqZ4KkggYX8z,
closed,2022-01-12 19:33:43,5.38 KB,1169368_23153_0_0.bqsr.HsMetrics.txt,file-G7Pj2gQJ3Z6V95PVF866QJ4K,
closed,2022-01-12 19:33:43,16.72 MB,1169368_23153_0_0.bqsr-PerTargetCoverage.txt,file-G7Pj2j0J3Z6ZxQGQKXPJv5Vq,
closed,2022-01-12 19:33:43,3.62 KB,1169368_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G7Pj2fjJ3Z6V0094145jk2YB,
closed,2022-01-12 19:33:43,743.86 MB,1169368_23153_0_0.bqsr-PerBaseCoverage.txt,file-G7Pj2jjJ3Z6qqjvkF8P9B44Y,
closed,2022-01-12 19:33:21,3.64 KB,1169394_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G7Pj2V0JY3b1GZ70KqY29JPY,
