State,Last modified,Size,Name,ID,
closed,2022-01-22 01:53:01,975.49 KB,1193853_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7bqPX8J439bppbp4ZXV52BK,
closed,2022-01-22 01:53:01,16.74 KB,1193853_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7bqPY0J439g04YV4ZZvY16p,
closed,2022-01-12 20:59:47,16.61 KB,1169863_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PkF48JJx9q6QJxPpfxg585,
closed,2022-01-12 20:59:47,968.18 KB,1169863_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PkF3jJJx9gx9JQ1400jZJ2,
closed,2022-01-12 20:30:26,16.78 KB,1170618_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PjxG8JBJXGpGK714x9fV9y,
closed,2022-01-12 20:30:26,960.23 KB,1170618_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PjxFQJBJX60kfP3KyX5340,
closed,2022-01-12 20:28:58,17.57 KB,1169368_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pjvf8JY2QgpFJg3P3VbxG9,
closed,2022-01-12 20:28:58,0.96 MB,1169368_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PjvbQJY2QqXvv1FVJGBbJ7,
closed,2022-01-12 20:28:02,16.35 KB,1169394_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pjv80J0VBZxQGQKXPJvGV3,
closed,2022-01-12 20:28:02,957.83 KB,1169394_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pjv7QJ0VBfzp6g2j5J9VXg,
closed,2022-01-12 20:23:48,18.10 KB,1160447_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pjp8QJYZ0v85Q5148FjpbF,
closed,2022-01-12 20:23:48,1.05 MB,1160447_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pjp80JYZ0fBv68KpQvp3y3,
closed,2022-01-12 20:16:52,1.15 MB,1168934_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pjg08JKV32vP84FVzjK8gf,
closed,2022-01-12 20:16:52,18.86 KB,1168934_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pjg0jJKV35pYF5FXkKxXzj,
closed,2022-01-12 20:15:27,17.50 KB,1140880_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PjfF8J86G6YZfP82g09y7F,
closed,2022-01-12 20:15:27,1.00 MB,1140880_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PjfBjJ86G7V7g8FV7XxzZj,
closed,2022-01-12 20:08:50,1.12 MB,1142980_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PjY7QJ5k807X3BFXb21Qkg,
closed,2022-01-12 20:08:50,18.08 KB,1142980_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PjY80J5k87BGG52f83Xk2f,
closed,2022-01-12 20:05:38,18.45 KB,1144581_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PjVj8J0PV8vZXJKvkFkVbY,
closed,2022-01-12 20:05:38,1.04 MB,1144581_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PjVgQJ0PV195PVF866QKVp,
closed,2022-01-12 20:04:55,14.72 KB,1161878_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PjVJ8J5jFPk9ZKKpKYFVfq,
closed,2022-01-12 20:04:55,803.09 KB,1161878_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PjVGjJ5jF0q3gXKp87q6Qk,
closed,2022-01-12 19:57:22,16.67 KB,1144446_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PjJv0JFpbfx77xPpK0jX8B,
closed,2022-01-12 19:57:22,956.63 KB,1144446_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PjJqQJFpbb0ykKKpk6yvP4,
closed,2022-01-12 19:57:12,1.06 MB,1143995_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PjJk0JfB14P92v82b5KBpz,
closed,2022-01-12 19:57:12,18.98 KB,1143995_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PjJkQJfB19XvJZKqJZB7KP,
closed,2022-01-12 19:57:00,17.74 KB,1141559_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PjJfQJF8yJ0p1015Y68Y97,
closed,2022-01-12 19:57:00,1.03 MB,1141559_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PjJf0JF8y6x77xPpK0jX7V,
closed,2022-01-12 19:54:06,1.00 MB,1142963_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PjGBQJJ2gv05232bJvVj3K,
closed,2022-01-12 19:54:06,17.83 KB,1142963_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PjGF8JJ2gQ7X3BFXb21Q3k,
closed,2022-01-12 19:43:32,1.26 MB,1151867_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pj7G8JjJbQBG3YPp2479p1,
closed,2022-01-12 19:43:32,21.60 KB,1151867_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pj7GjJjJbZ352fKY8qFfJy,
closed,2022-01-12 19:43:14,17.96 KB,1152871_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pj788Jp7B7y5F0KXX73q38,
closed,2022-01-12 19:43:14,1.04 MB,1152871_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pj77QJp7B87Y1B2bvxYZfV,
closed,2022-01-12 19:38:01,1.03 MB,1160724_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pj4k8Jg55FZYJZKYGX27Q3,
closed,2022-01-12 19:38:01,18.22 KB,1160724_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pj4p0Jg551GZ70KqY29JbK,
closed,2022-01-12 19:34:36,1.04 MB,1153905_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pj360Jb4vgy5F0KXX73pg5,
closed,2022-01-12 19:34:36,18.27 KB,1153905_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pj36QJb4vjYyGvKY9QBvzx,
closed,2022-01-12 19:33:50,18.17 KB,1159484_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pj2pjJ1gjPkzqB84kfYb1F,
closed,2022-01-12 19:33:50,1.70 MB,1159484_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pj2p8J1gj10094145jk2Yf,
closed,2022-01-12 19:33:11,968.70 KB,1151248_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pj2QjJQqk7BGG52f83XgYJ,
closed,2022-01-12 19:33:11,17.76 KB,1151248_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pj2V8JQqkPX83f8345Kj8F,
closed,2022-01-12 19:29:57,1.04 MB,1177239_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pj10QJXJpFqjvkF8P9B3z3,
closed,2022-01-12 19:29:57,18.50 KB,1177239_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pj110JXJpGpGK714x9fKJQ,
closed,2022-01-12 19:28:32,1.06 MB,1163297_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pj0F0JZ8GzY1gb82j99GpZ,
closed,2022-01-12 19:28:32,18.27 KB,1163297_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pj0FjJZ8Gpp7Z4F9qGXkJ3,
closed,2022-01-12 19:28:15,1.00 MB,1177174_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pj06jJP7Z6YZfP82g09qjX,
closed,2022-01-12 19:28:15,17.85 KB,1177174_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pj078JP7ZPX83f8345Kgzx,
closed,2022-01-12 19:27:15,0.97 MB,1153881_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PgzgjJ6jK0BG3YPp24792B,
closed,2022-01-12 19:27:15,17.06 KB,1153881_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pgzj8J6jK9XvJZKqJZB69G,
closed,2022-01-12 19:22:56,950.99 KB,1177641_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pgxg0JYZXjYyGvKY9QBqb4,
closed,2022-01-12 19:22:56,16.77 KB,1177641_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PgxgjJYZXf677PKYQY3bB8,
closed,2022-01-12 19:20:57,16.51 KB,1177909_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pgvp0J94qjk5QzKpGqv85J,
closed,2022-01-12 19:20:57,934.99 KB,1177909_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PgvkQJ94qQBG3YPp2478qk,
closed,2022-01-12 19:16:39,16.92 KB,1163078_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7PgpkQJ8xbfp3P4PkpZF6ZV,
closed,2022-01-12 19:16:39,922.19 KB,1163078_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7Pgpk0J8xbxFGZ6PqKfVKK6,
closed,2022-01-12 19:14:54,1.04 MB,1174883_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7PgkyQJg3Fzk9ZKKpKYFPJ5,
closed,2022-01-12 19:14:54,17.76 KB,1174883_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7Pgkz8Jg3FYvGV82bb1j74f,
