State,Last modified,Size,Name,ID,
closed,2022-01-23 21:36:10,182.18 KB,1252873_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g1x5QJ39JzBV5x4Z0p9q78,
closed,2022-01-23 21:36:10,27.17 KB,1252873_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g1x60J39JxyYKP4fQqVQbb,
closed,2022-01-23 21:29:50,65.43 KB,1242926_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g1p5jJ6QKv91Vz4ZFQV319,
closed,2022-01-23 21:29:50,454.14 KB,1242926_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g1p50J6QKVx2g34bZZXpfZ,
closed,2022-01-23 21:24:29,28.45 KB,1246716_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g1gfjJ1b2qB8JG4bKyp7k3,
closed,2022-01-23 21:24:29,190.81 KB,1246716_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g1gf8J1b2x48kz4b8179xf,
closed,2022-01-23 20:56:53,215.12 KB,1243044_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g1Bj8J823BF50x4ZyGYjyX,
closed,2022-01-23 20:56:53,30.25 KB,1243044_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g1BjjJ823Bp0Y04b2V0Bv8,
closed,2022-01-23 20:50:57,30.39 KB,1260689_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g17z0J2jxpZ8bZ4ZqgYYzF,
closed,2022-01-23 20:50:57,199.57 KB,1260689_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g17yQJ2jxyXykx4fqVYX30,
closed,2022-01-23 20:46:14,26.21 KB,1244682_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g15k0J0KjyXykx4fqVYVKv,
closed,2022-01-23 20:46:14,165.72 KB,1244682_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g15jQJ0Kjq5qzQ4ZQv62b0,
closed,2022-01-23 20:40:30,26.37 KB,1243496_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g132jJbPJz1ZkG4Zbp3f1Q,
closed,2022-01-23 20:40:30,163.87 KB,1243496_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g1328JbPJZ7k1f4b3qX1bz,
closed,2022-01-23 20:36:46,201.96 KB,1264197_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g11BQJfgJyXykx4fqVYQ4v,
closed,2022-01-23 20:36:46,27.70 KB,1264197_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g11F0JfgJfbPkj4ZjY5720,
closed,2022-01-23 20:35:44,32.07 KB,1223204_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g10qQJ0v9G91Vz4ZFQQx8v,
closed,2022-01-23 20:35:44,223.02 KB,1223204_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g10q0J0v95bKYf4Zgfx76B,
closed,2022-01-23 20:26:59,353.83 KB,1249951_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g0pZ0J0FQ4kj2F4ZX7bz4k,
closed,2022-01-23 20:26:59,44.34 KB,1249951_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g0pZjJ0FQ9yg054ZFg0zV1,
closed,2022-01-23 20:21:48,44.76 KB,1245448_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g0pBQJPBQKqxQg4fVq51kV,
closed,2022-01-23 20:21:48,370.72 KB,1245448_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g0pB0JPBQ680VP4ZZFpkPp,
closed,2022-01-23 20:21:45,238.07 KB,1238450_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g0p98JYy1G91Vz4ZFQQqQ7,
closed,2022-01-23 20:21:45,30.03 KB,1238450_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g0p9jJYy19yg054ZFg0zKV,
closed,2022-01-23 20:16:22,40.11 KB,1247761_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g0gk0J9fF5K1794b5gPjVY,
closed,2022-01-23 20:16:22,326.89 KB,1247761_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g0gjQJ9fFKFf4P4fGvKzvP,
closed,2022-01-23 20:16:08,46.54 KB,1237924_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7g0gbjJ3JZyqxQg4fVq51QJ,
closed,2022-01-23 20:16:08,371.66 KB,1237924_23153_0_0.vardict.final.annotated.vcf.gz,file-G7g0gb0J3JZkjv9z4ZY2778P,
closed,2022-01-18 07:22:58,253.22 KB,1246859_23153_0_0.vardict.final.annotated.vcf.gz,file-G7YFy1QJf5GYvGV82bb3XX7V,
closed,2022-01-18 07:22:58,32.42 KB,1246859_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7YFy28Jf5GxFGZ6PqKjX4Yz,
closed,2022-01-18 07:05:19,29.60 KB,1247822_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7YFbz8J18Pj1X1g2fyX211k,
closed,2022-01-18 07:05:19,213.97 KB,1247822_23153_0_0.vardict.final.annotated.vcf.gz,file-G7YFbyjJ18PxG90k3KZ89b3y,
closed,2022-01-18 06:57:28,182.12 KB,1248517_23153_0_0.vardict.final.annotated.vcf.gz,file-G7YFX8jJ843k0704FXZqxvKg,
closed,2022-01-18 06:57:28,26.15 KB,1248517_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7YFX9QJ843Qgfk2F922f83Z,
closed,2022-01-18 06:53:42,214.51 KB,1248445_23153_0_0.vardict.final.annotated.vcf.gz,file-G7YFQQ8Jp5VqZYJZKYGYkPyQ,
closed,2022-01-18 06:53:42,29.41 KB,1248445_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7YFQV0Jp5Vfx77xPpK2K5Xy,
closed,2022-01-18 06:53:28,238.32 KB,1248467_23153_0_0.vardict.final.annotated.vcf.gz,file-G7YFQG8J28g7V7g8FV7ZF57B,
