State,Last modified,Size,Name,ID,
closed,2022-01-30 02:47:21,1.15 MB,2499876_23153_0_0.normal.pileup.vcf.gz,file-G7q511jJj1BxP29f252GzzxQ,
closed,2022-01-30 02:37:32,1.00 MB,2499984_23153_0_0.normal.pileup.vcf.gz,file-G7q4vKjJQp4Vg00V1kbZ9k62,
closed,2022-01-30 02:32:32,932.67 KB,2499920_23153_0_0.normal.pileup.vcf.gz,file-G7q4p3jJB0pyXJpf2K0JbJk2,
closed,2022-01-30 02:26:40,0.99 MB,2499746_23153_0_0.normal.pileup.vcf.gz,file-G7q4gFjJVxKYpZ1120g2F2f2,
closed,2022-01-30 02:25:14,1.07 MB,2499473_23153_0_0.normal.pileup.vcf.gz,file-G7q4fb0JjKqjbg6b22BKVZZ5,
closed,2022-01-30 02:23:15,901.64 KB,2499897_23153_0_0.normal.pileup.vcf.gz,file-G7q4bjQJ2X7xjFq71kGJz8Q3,
closed,2022-01-30 02:22:21,0.98 MB,2499791_23153_0_0.normal.pileup.vcf.gz,file-G7q4bBjJ89x0Y9vK2JbJ5fGZ,
closed,2022-01-30 02:21:43,828.03 KB,2499763_23153_0_0.normal.pileup.vcf.gz,file-G7q4b18J1FFQX3GX271kZqJZ,
closed,2022-01-30 02:20:33,899.84 KB,2499881_23153_0_0.normal.pileup.vcf.gz,file-G7q4ZPjJjF967JbJ1jj4jQ7v,
closed,2022-01-30 02:19:38,0.99 MB,2499752_23153_0_0.normal.pileup.vcf.gz,file-G7q4Z28JgjKgJ8qp8b1v2BYZ,
closed,2022-01-30 02:18:57,693.65 KB,2499951_23153_0_0.normal.pileup.vcf.gz,file-G7q4Yj0JBvFj901k2277zGp5,
closed,2022-01-30 02:18:56,897.29 KB,2499937_23153_0_0.normal.pileup.vcf.gz,file-G7q4YgQJ5ky654Fq29G6Pbz9,
closed,2022-01-30 02:18:30,0.99 MB,2499588_23153_0_0.normal.pileup.vcf.gz,file-G7q4YV8JVQ0fbpy02GV205Pp,
closed,2022-01-30 02:17:28,907.76 KB,2499515_23153_0_0.normal.pileup.vcf.gz,file-G7q4Y1QJXqz4Qf4JFX8fb199,
closed,2022-01-30 02:17:23,872.95 KB,2499832_23153_0_0.normal.pileup.vcf.gz,file-G7q4Y0QJp81yXq8v255V7yGv,
closed,2022-01-30 02:16:32,1.06 MB,2474094_23153_0_0.normal.pileup.vcf.gz,file-G7q4XYjJQpBVg00V1kbZ9jf6,
closed,2022-01-30 02:15:55,813.75 KB,2499848_23153_0_0.normal.pileup.vcf.gz,file-G7q4XBQJBYVkkZg02Pky5xb6,
