State,Last modified,Size,Name,ID,
closed,2022-02-03 13:46:38,15.17 KB,4881526_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y322QJJpK7XZFv1y0JZkFG,
closed,2022-02-03 13:46:38,104.31 KB,4881526_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y321jJJpK1518Y5gfPGfPj,
closed,2022-02-03 13:46:38,1.11 MB,4881526_23153_0_0.normal.pileup.vcf.gz,file-G7y3230JJpK20B771zJ3fF56,
closed,2022-02-03 13:45:36,116.86 KB,4884725_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y31XQJ7YjjJF3098V6xJFj,
closed,2022-02-03 13:45:36,1.04 MB,4884725_23153_0_0.normal.pileup.vcf.gz,file-G7y31YjJ7YjVqP3098X3B651,
closed,2022-02-03 13:45:36,16.98 KB,4884725_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y31Y0J7YjjbvQ51xFk4Yb3,
closed,2022-02-03 13:39:33,18.19 KB,4899967_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2yj8JKq73P2Yg694QbVZp,
closed,2022-02-03 13:39:33,941.38 KB,4899967_23153_0_0.normal.pileup.vcf.gz,file-G7y2yjjJKq7362g08B6688FY,
closed,2022-02-03 13:39:33,123.52 KB,4899967_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2ygQJKq73Z8kzPg0KpV4x,
closed,2022-02-03 13:38:53,1.10 MB,4886116_23153_0_0.normal.pileup.vcf.gz,file-G7y2yKjJv884bpGK6J0xV49V,
closed,2022-02-03 13:38:53,127.95 KB,4886116_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2yJQJv885Byp030b8f1Bq,
closed,2022-02-03 13:38:53,18.89 KB,4886116_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2yK8Jv881yGj132pYy6Jk,
closed,2022-02-03 13:36:56,119.09 KB,4899936_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2xQ8JXzPbv5k731y0vgpy,
closed,2022-02-03 13:36:56,954.07 KB,4899936_23153_0_0.normal.pileup.vcf.gz,file-G7y2xVQJXzPXp5Q66BPxgkKJ,
closed,2022-02-03 13:36:56,18.29 KB,4899936_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2xV0JXzPQXFzKJgkp2XkX,
closed,2022-02-03 13:36:44,1.03 MB,4899802_23153_0_0.normal.pileup.vcf.gz,file-G7y2xKQJZQY1Y3ZyPj2PpVZQ,
closed,2022-02-03 13:36:44,24.18 KB,4899802_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2xK0JZQY71gZgPgBF7zZx,
closed,2022-02-03 13:36:44,162.73 KB,4899802_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2xJ8JZQYG91751z2jp0X6,
closed,2022-02-03 13:36:13,17.11 KB,4899864_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2x68JqY4Xp5Q66BPxgkGJ,
closed,2022-02-03 13:36:13,110.22 KB,4899864_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2x5jJqY4x1ZJ4335b4jzf,
closed,2022-02-03 13:36:13,881.78 KB,4899864_23153_0_0.normal.pileup.vcf.gz,file-G7y2x70JqY4YkB2B0Qx8byy7,
closed,2022-02-03 13:36:12,236.25 KB,4899911_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2x58JX4VQ5jgvPjGKBBP6,
closed,2022-02-03 13:36:12,34.71 KB,4899911_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2x60JX4VvXzXp8Gp16p7P,
closed,2022-02-03 13:36:12,1.17 MB,4899911_23153_0_0.normal.pileup.vcf.gz,file-G7y2x6QJX4Vq279G96vf9zx5,
closed,2022-02-03 13:35:58,113.95 KB,4899877_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2x1jJkkBQyK4x6Kbp4ZqX,
closed,2022-02-03 13:35:58,787.96 KB,4899877_23153_0_0.normal.pileup.vcf.gz,file-G7y2x30JkkBzjKjY97Zv5f8k,
closed,2022-02-03 13:35:58,18.38 KB,4899877_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2x2QJkkBbv5k731y0vgkV,
closed,2022-02-03 13:35:33,927.22 KB,4886744_23153_0_0.normal.pileup.vcf.gz,file-G7y2vvjJZ6BZbpGK6J0xV442,
closed,2022-02-03 13:35:33,118.74 KB,4886744_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2vqQJZ6Bqy8f36GfZv3ZJ,
closed,2022-02-03 13:35:33,18.33 KB,4886744_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2vv8JZ6Bv4VBK97vjYQjf,
closed,2022-02-03 13:34:23,807.46 KB,4882106_23153_0_0.normal.pileup.vcf.gz,file-G7y2vF8Jj3xJb57XJbv5XY24,
closed,2022-02-03 13:34:23,112.34 KB,4882106_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2vB0Jj3x4f8z98GPb7BG7,
closed,2022-02-03 13:34:23,17.28 KB,4882106_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2vBjJj3xG5xbZ6G6Z2Y4b,
closed,2022-02-03 13:34:11,114.74 KB,4885196_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2v78Jp31J1ZJ4335b4jvB,
closed,2022-02-03 13:34:11,17.80 KB,4885196_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2v7jJp313P2Yg694QbVK6,
closed,2022-02-03 13:34:11,936.47 KB,4885196_23153_0_0.normal.pileup.vcf.gz,file-G7y2v88Jp310kjPb0QkZFY3F,
closed,2022-02-03 13:34:05,901.42 KB,4885611_23153_0_0.normal.pileup.vcf.gz,file-G7y2v70JQXBqkvBFJg60x9jZ,
closed,2022-02-03 13:34:05,115.21 KB,4885611_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2v5jJQXBzkKbK6JgG7b7q,
closed,2022-02-03 13:34:05,17.47 KB,4885611_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2v68JQXBv4VBK97vjYQbG,
closed,2022-02-03 13:34:02,1.17 MB,4898267_23153_0_0.normal.pileup.vcf.gz,file-G7y2v60JbzkBbxVyJfXjxfJ6,
closed,2022-02-03 13:34:02,115.68 KB,4898267_23153_0_0.mutect.msk.pon2.vcf.gz,file-G7y2v50Jbzk0kjPb0QkZFY2z,
closed,2022-02-03 13:34:02,17.15 KB,4898267_23153_0_0.mutect.msk.pon2.vcf.gz.tbi,file-G7y2v5QJbzk8bvQ51xFk4Y1j,
