State,Last modified,Size,Name,ID,
closed,2022-02-03 14:18:36,32.19 KB,4999880_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y3V2QJjvbV3YqX8B2QG47K,
closed,2022-02-03 14:18:36,241.80 KB,4999880_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y3V20Jjvbz40Pb8Fk4g8fy,
closed,2022-02-03 14:07:28,212.09 KB,4999459_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y3Fq0JJ232p5Q66BPxgpx9,
closed,2022-02-03 14:07:28,30.08 KB,4999459_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y3FqQJJ231yGj132pYy7jK,
closed,2022-02-03 13:59:25,28.81 KB,4992223_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y382QJjfKZqJ3J5j4k29vy,
closed,2022-02-03 13:59:25,207.71 KB,4992223_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y3820JjfKjbvQ51xFk4Z6k,
closed,2022-02-03 13:58:19,208.61 KB,4999441_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y37VjJQ3YqYJq40X00Y8y3,
closed,2022-02-03 13:58:19,29.03 KB,4999441_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y37X8JQ3Yk26151x0z9k41,
closed,2022-02-03 13:54:23,203.13 KB,4999863_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y35fQJ1pX5Byp030b8f235,
closed,2022-02-03 13:54:23,28.89 KB,4999863_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y35g0J1pXJZ5Jj0XGy3K1Q,
closed,2022-02-03 13:52:35,177.63 KB,4999982_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y34qjJ86f1518Y5gfPGfjf,
closed,2022-02-03 13:52:35,27.13 KB,4999982_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y34v8J86fPkgVB6K1gb1y0,
closed,2022-02-03 13:52:11,29.32 KB,4999931_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y34fQJ5pbpbxVyJfXjxgb8,
closed,2022-02-03 13:52:11,199.91 KB,4999931_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y34bjJ5pbg1gZgPgBF80bF,
closed,2022-02-03 13:51:53,229.22 KB,4999846_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y34V8JB6k2j6YZ5jKQvzK7,
closed,2022-02-03 13:51:53,33.24 KB,4999846_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y34VjJB6k44v1j6Fxkbf2q,
closed,2022-02-03 13:51:51,28.70 KB,4999703_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y34V8JY5V4qJ3J5j4k29XZ,
closed,2022-02-03 13:51:51,192.38 KB,4999703_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y34QjJY5V1yGj132pYy722,
closed,2022-02-03 13:51:44,181.90 KB,4999875_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y34KjJVp6xZ5Jj0XGy3Jy9,
closed,2022-02-03 13:51:44,27.99 KB,4999875_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y34P8JVp6Xzy315gFpQv57,
closed,2022-02-03 13:51:31,190.90 KB,4999571_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y34F0J29720B771zJ3fFFb,
closed,2022-02-03 13:51:31,28.73 KB,4999571_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y34FQJ297JZ5Jj0XGy3Jy3,
closed,2022-02-03 13:51:29,177.05 KB,4999965_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y34F0J5qGJ1ZJ4335b4kxB,
closed,2022-02-03 13:51:29,26.84 KB,4999965_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y34FjJ5qGBPPxz1xbfX1Kq,
closed,2022-02-03 13:51:26,146.65 KB,4999904_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y34BQJP3JbYJKY9775kj8y,
closed,2022-02-03 13:51:26,24.23 KB,4999904_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y34F0JP3JV7v5GJbKkbyGv,
closed,2022-02-03 13:51:22,213.54 KB,4909535_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y3498Jb7xx3jj50XvvVbPY,
closed,2022-02-03 13:51:22,28.75 KB,4909535_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y34B0Jb7xYZ8kzPg0KpVfJ,
closed,2022-02-03 13:51:17,29.70 KB,4999508_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y3488J312740PJ6FqyZ3V8,
closed,2022-02-03 13:51:17,203.59 KB,4999508_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y347jJ312Bj5qZPjJ7K0gG,
closed,2022-02-03 13:51:09,27.01 KB,4999477_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y346jJ9qk0f8Bj5k62g7fg,
closed,2022-02-03 13:51:09,180.93 KB,4999477_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y345jJ9qkBj5qZPjJ7K0g1,
closed,2022-02-03 13:51:09,251.33 KB,4999255_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y3460JppPk0y4bPfP98v1q,
closed,2022-02-03 13:51:09,34.90 KB,4999255_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y346QJppPx3jj50XvvVbP9,
closed,2022-02-03 13:51:07,225.19 KB,4987539_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y345QJjG4bY6PpPbjVy5f1,
closed,2022-02-03 13:51:07,30.60 KB,4987539_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y3460JjG4pPPxz1xbfX1KG,
closed,2022-02-03 13:50:49,27.01 KB,4999394_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y341jJfYzqkvBFJg60xGV9,
closed,2022-02-03 13:50:49,185.99 KB,4999394_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y3418JfYzv91751z2jp16y,
closed,2022-02-03 13:49:05,236.61 KB,4989860_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y3378J5jkQyK4x6Kbp4bYF,
closed,2022-02-03 13:49:05,31.15 KB,4989860_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y337jJ5jkYP7jb5jjygyZ9,
closed,2022-02-03 13:47:31,30.67 KB,4976154_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y32B0Jk9YbByp030b8f1jy,
closed,2022-02-03 13:47:31,214.62 KB,4976154_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y329QJk9Yx1ZJ4335b4kjZ,
closed,2022-02-03 13:47:18,29.08 KB,4999711_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y32GjJKb2BbxVyJfXjxgB9,
closed,2022-02-03 13:47:18,198.82 KB,4999711_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y32G8JKb23P2Yg694QbX5Z,
closed,2022-02-03 13:47:13,250.62 KB,4967156_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y32F0J9Zjz40Pb8Fk4g7GK,
closed,2022-02-03 13:47:13,34.17 KB,4967156_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y32FjJ9ZjQkjPb0QkZFYv2,
closed,2022-02-03 13:47:07,160.02 KB,4999774_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y329jJX6QY4fzvJf80FFq1,
closed,2022-02-03 13:47:07,25.32 KB,4999774_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y32BQJX6Qq279G96vfB0Xj,
closed,2022-02-03 13:47:03,166.87 KB,4999613_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y328jJV2z0209698FjPFYY,
closed,2022-02-03 13:47:03,25.94 KB,4999613_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y329QJV2z7f84G6Fz2g6k5,
closed,2022-02-03 13:46:47,24.42 KB,4999736_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y3258JY10X0B771zJ3fF5J,
closed,2022-02-03 13:46:47,156.20 KB,4999736_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y324QJY10fz0Zb32pBYfxP,
closed,2022-02-03 13:46:41,28.94 KB,4999654_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y3238JG2k926151x0z9jg2,
closed,2022-02-03 13:46:41,180.93 KB,4999654_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y322jJG2k1518Y5gfPGfPp,
closed,2022-02-03 13:46:40,171.03 KB,4999586_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y3230JB5X13YqX8B2QG2ZF,
closed,2022-02-03 13:46:40,27.20 KB,4999586_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y323QJB5XBbxVyJfXjxg7z,
closed,2022-02-03 13:46:34,192.36 KB,4976942_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y321QJ1jVP40Pb8Fk4g7G1,
closed,2022-02-03 13:46:34,28.95 KB,4976942_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y3220J1jV0jBKv8J4747F4,
closed,2022-02-03 13:46:28,163.44 KB,4999676_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y3200Jb2qv4VBK97vjYVBk,
closed,2022-02-03 13:46:28,26.90 KB,4999676_23153_0_0.vardict.final.annotated.vcf.gz.tbi,file-G7y320QJb2qZbpGK6J0xV4qb,
closed,2022-02-03 13:46:26,235.82 KB,4999368_23153_0_0.vardict.final.annotated.vcf.gz,file-G7y31zQJ0JbjbvQ51xFk4Ybk,
