State,Last modified,Size,Name,ID,
closed,2022-02-05 20:11:54,0.98 MB,5099307_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7zXvbQJ0v4z40Pb8Fk5GJy7,
closed,2022-02-05 20:11:54,17.22 KB,5099307_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7zXvf8J0v4x3jj50Xvx2PP5,
closed,2022-02-05 19:18:21,16.42 KB,5099033_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7zX3Y0Jpz21yGj132pZVgJb,
closed,2022-02-05 19:18:21,0.99 MB,5099033_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7zX3XQJpz24bpGK6J0y6qK6,
closed,2022-02-05 19:18:12,1.08 MB,5099111_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7zX3Q8J3VxQ6VfP1vX4X1Zp,
closed,2022-02-05 19:18:12,18.90 KB,5099111_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7zX3QjJ3VxjJF3098V7XQxK,
closed,2022-02-05 19:07:09,938.03 KB,5086459_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7zVyB8Jf6gbGzkQ69yfJF76,
closed,2022-02-05 19:07:09,16.81 KB,5086459_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7zVyF0Jf6gbY6PpPbjXVzxx,
closed,2022-02-05 19:07:04,827.76 KB,5011719_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7zVy90JYjFkJPzQJj3Vjyxz,
closed,2022-02-05 19:07:04,15.69 KB,5011719_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7zVy9jJYjFv8p640YXxYjfy,
closed,2022-02-05 03:42:57,18.56 KB,5043121_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7z4J40JQzz8JF3098V7PqFg,
closed,2022-02-05 03:42:57,1.05 MB,5043121_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7z4J38JQzz7f84G6Fz3JFQF,
closed,2022-02-05 03:41:08,18.51 KB,5088089_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7z4G8jJ42bgf84G6Fz3JFPp,
closed,2022-02-05 03:41:08,1.08 MB,5088089_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7z4G88J42bk0y4bPfP9k969,
closed,2022-02-05 03:40:14,16.58 KB,5074185_23153_0_0.mutect.vep.annotated.vcf.gz.tbi,file-G7z4Fq8JVKB44v1j6Fxp7J78,
closed,2022-02-05 03:40:14,927.81 KB,5074185_23153_0_0.mutect.vep.annotated.vcf.gz,file-G7z4FpQJVKB7272v6KFkP5YF,
