State,Last modified,Size,Name,ID,
closed,2022-02-09 07:53:09,4.33 KB,5592214_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G81vKB0JPzxXvPjk3ByyZg32,
closed,2022-02-09 07:53:09,754.54 MB,5592214_23153_0_0.bqsr-PerBaseCoverage.txt,file-G81vKFjJPzxvfb991ppkvKfy,
closed,2022-02-09 07:53:09,16.89 MB,5592214_23153_0_0.bqsr-PerTargetCoverage.txt,file-G81vKF8JPzxyKyzQB55K1q0F,
closed,2022-02-09 07:53:09,5.55 KB,5592214_23153_0_0.bqsr.HsMetrics.txt,file-G81vKBQJPzxv7pzZGPZ5BQvG,
closed,2022-02-09 07:46:41,16.75 MB,5594446_23153_0_0.bqsr-PerTargetCoverage.txt,file-G81vFB8Jf9ByKyzQB55K1pfB,
closed,2022-02-09 07:46:41,3.63 KB,5594446_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G81vF98Jf9BpkpfX5V60795x,
closed,2022-02-09 07:46:41,745.10 MB,5594446_23153_0_0.bqsr-PerBaseCoverage.txt,file-G81vFF0Jf9BpkpfX5V607961,
closed,2022-02-09 07:46:41,5.41 KB,5594446_23153_0_0.bqsr.HsMetrics.txt,file-G81vF9jJf9Bjx88j9Kb6VxXb,
closed,2022-02-09 07:43:29,5.47 KB,5583846_23153_0_0.bqsr.HsMetrics.txt,file-G81v9kjJ93Vb67fy5V8YFZK3,
closed,2022-02-09 07:43:29,3.64 KB,5583846_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G81v9k0J93Vf46473BvGx58V,
closed,2022-02-09 07:43:29,16.79 MB,5583846_23153_0_0.bqsr-PerTargetCoverage.txt,file-G81v9p8J93VZq85J97vbb4Fq,
closed,2022-02-09 07:43:29,747.43 MB,5583846_23153_0_0.bqsr-PerBaseCoverage.txt,file-G81v9q0J93Vjv7259KPyFqJ6,
closed,2022-02-09 07:33:31,3.64 KB,5584223_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G81v53jJf1X2F01fGPV8qg1P,
closed,2022-02-09 07:33:31,744.45 MB,5584223_23153_0_0.bqsr-PerBaseCoverage.txt,file-G81v55jJf1X0yY94FbpQK455,
closed,2022-02-09 07:33:31,5.42 KB,5584223_23153_0_0.bqsr.HsMetrics.txt,file-G81v54QJf1XBXK3498KgjJPV,
closed,2022-02-09 07:33:31,16.73 MB,5584223_23153_0_0.bqsr-PerTargetCoverage.txt,file-G81v550Jf1X84Vv4FbqX2pF4,
closed,2022-02-09 07:30:17,743.91 MB,5585991_23153_0_0.bqsr-PerBaseCoverage.txt,file-G81v3b8JQQkvQQp3GPfy6K2k,
closed,2022-02-09 07:30:17,5.41 KB,5585991_23153_0_0.bqsr.HsMetrics.txt,file-G81v3Z0JQQkyY19448b7xB9z,
closed,2022-02-09 07:30:17,16.71 MB,5585991_23153_0_0.bqsr-PerTargetCoverage.txt,file-G81v3ZQJQQkpV6Y11q3kGqfF,
closed,2022-02-09 07:30:17,3.62 KB,5585991_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G81v3Y8JQQkXvPjk3ByyZbG2,
closed,2022-02-09 07:14:45,16.80 MB,5569981_23153_0_0.bqsr-PerTargetCoverage.txt,file-G81qvF8JpzVfJBB097QZ4gV0,
