State,Last modified,Size,Name,ID,
closed,2021-11-13 01:33:20,744.48 MB,1000051_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67fZBjJ8vyx8f596ZgJfjqZ,
closed,2021-11-13 01:33:20,16.73 MB,1000051_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67fZB0J8vyqPxpf77QF8Xv9,
closed,2021-11-13 01:33:20,3.63 KB,1000051_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67fZ8jJ8vyYK0qZ5KpxVPf5,
closed,2021-11-13 01:33:20,5.42 KB,1000051_23153_0_0.bqsr.HsMetrics.txt,file-G67fZ98J8vyY0qzP4bf8Qb2Y,
closed,2021-11-13 04:28:46,746.33 MB,1000326_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67k6J0Jz6p44vjG6qKGv9vP,
closed,2021-11-13 04:28:46,16.77 MB,1000326_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67k6G8Jz6p13fFQ8zpg4Y86,
closed,2021-11-13 04:28:46,3.64 KB,1000326_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67k6F0Jz6p045Yx77xgfBg0,
closed,2021-11-13 04:28:46,5.44 KB,1000326_23153_0_0.bqsr.HsMetrics.txt,file-G67k6FjJz6pPzyj36PKV757P,
closed,2021-11-13 04:28:30,746.78 MB,1001354_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67k6K8JFP1zzyj36PKV757p,
closed,2021-11-13 04:28:30,16.79 MB,1001354_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67k6JQJFP1pq53K7p7ygZb7,
closed,2021-11-13 04:28:30,3.63 KB,1001354_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67k6G8JFP1fbg8J6Kxbxq6P,
closed,2021-11-13 04:28:30,5.48 KB,1001354_23153_0_0.bqsr.HsMetrics.txt,file-G67k6GjJFP1Y3Byf6bV216pF,
closed,2021-11-13 04:28:51,745.04 MB,1002941_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67k6YQJxG59PPPX7pvpXyy9,
closed,2021-11-13 04:28:51,16.74 MB,1002941_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67k6XjJxG5Pzyj36PKV7582,
closed,2021-11-13 04:28:51,3.63 KB,1002941_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67k6V8JxG5KpZ746ppjbJ48,
closed,2021-11-13 04:28:51,5.43 KB,1002941_23153_0_0.bqsr.HsMetrics.txt,file-G67k6X0JxG59j8xB7kJVG03J,
closed,2021-11-13 04:26:37,743.87 MB,1003507_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67k5X0JG40314pb62y9JpZx,
closed,2021-11-13 04:26:37,16.71 MB,1003507_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67k5V8JG408ZGYK56g65q55,
closed,2021-11-13 04:26:37,3.62 KB,1003507_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67k5PjJG408gGYG6K96ykZG,
closed,2021-11-13 04:26:37,5.39 KB,1003507_23153_0_0.bqsr.HsMetrics.txt,file-G67k5QQJG408Y5BP7pvb3xgy,
closed,2021-11-13 04:29:56,745.37 MB,1004415_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67k73QJ2z3qK35Z5Kxj0Qjy,
closed,2021-11-13 04:29:56,16.75 MB,1004415_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67k72jJ2z3yVfFF6Kp95b7q,
closed,2021-11-13 04:29:56,3.64 KB,1004415_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67k718J2z3QxJ6y76vyjzXq,
closed,2021-11-13 04:29:56,5.44 KB,1004415_23153_0_0.bqsr.HsMetrics.txt,file-G67k720J2z3kPPPX7pvpXyyj,
closed,2021-11-13 04:32:24,745.74 MB,1004595_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67k88jJ1gkPZZbz6Zzb930f,
closed,2021-11-13 04:32:24,16.76 MB,1004595_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67k880J1gk1gbQz61zkv22Z,
closed,2021-11-13 04:32:24,3.64 KB,1004595_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67k86jJ1gkFK35Z5Kxj0Qkq,
closed,2021-11-13 04:32:24,5.45 KB,1004595_23153_0_0.bqsr.HsMetrics.txt,file-G67k878J1gkPzyj36PKV759f,
closed,2021-11-13 04:36:38,747.49 MB,1004632_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67kB88JK6KzP19262Jb149Z,
closed,2021-11-13 04:36:38,16.79 MB,1004632_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67kB7QJK6KzX6pj7p4pppVg,
closed,2021-11-13 04:36:38,3.63 KB,1004632_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67kB68JK6Ky7g097pFV7vFQ,
closed,2021-11-13 04:36:38,5.46 KB,1004632_23153_0_0.bqsr.HsMetrics.txt,file-G67kB6jJK6KY3Byf6bV216y3,
closed,2021-11-13 04:38:51,748.33 MB,1006080_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67kF98J9VF045Yx77xgfBv1,
closed,2021-11-13 04:38:51,16.80 MB,1006080_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67kF8QJ9VF2V1xB5QjJ340P,
closed,2021-11-13 04:38:51,3.64 KB,1006080_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67kF70J9VFP6P7X57vgp1gB,
closed,2021-11-13 04:38:51,5.48 KB,1006080_23153_0_0.bqsr.HsMetrics.txt,file-G67kF7jJ9VF1yGz06Kbfp5qf,
closed,2021-11-13 04:34:43,744.50 MB,1008000_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67k9FQJpG74p8ZG6vQFzkJ6,
closed,2021-11-13 04:34:43,16.75 MB,1008000_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67k9BjJpG76Y71157kJPV5z,
closed,2021-11-13 04:34:43,3.62 KB,1008000_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67k998JpG71bx4K57j83bpg,
closed,2021-11-13 04:34:43,5.40 KB,1008000_23153_0_0.bqsr.HsMetrics.txt,file-G67k9B0JpG7PX6pj7p4pppQf,
closed,2021-11-13 04:34:44,744.78 MB,1008844_23153_0_0.bqsr-PerBaseCoverage.txt,file-G67k9FjJkFJ2Zp5b9093gXQF,
closed,2021-11-13 04:34:44,16.73 MB,1008844_23153_0_0.bqsr-PerTargetCoverage.txt,file-G67k9F0JkFJJ8f596ZgJg1PJ,
closed,2021-11-13 04:34:44,3.64 KB,1008844_23153_0_0.bqsr.AlignmentSummaryMetrics.txt,file-G67k99QJkFJG5zPq7qPyj40B,
