id	filename	size	sample	sample_target	sample_type	n_type	n_sample
423852d0-b0e6-4367-a17f-c5fa58745725	C484.TCGA-02-0003-10A-01D-1490-08.4_gdc_realn.bam	20988631894	TCGA-02-0003	10A	blood_normal	1	2
6b419be7-b54b-4e2b-b350-bf0533e96741	C484.TCGA-02-0033-10A-01D-1490-08.4_gdc_realn.bam	21353152238	TCGA-02-0033	10A	blood_normal	1	2
63aff381-7497-4b1f-8c21-fdf76e730e8c	C484.TCGA-02-0047-10A-01D-1490-08.4_gdc_realn.bam	18207118558	TCGA-02-0047	10A	blood_normal	1	2
88d4d542-fb77-4b4d-9b01-60f48d78160d	C484.TCGA-02-0055-10A-01D-1490-08.4_gdc_realn.bam	21195115594	TCGA-02-0055	10A	blood_normal	1	2
4a10482d-3b03-4728-8f6e-64c57fcf1354	C282.TCGA-02-2466-10A-01W-0837-08.3_gdc_realn.bam	17742656772	TCGA-02-2466	10A	blood_normal	1	2
82704a7d-a720-46b4-a0b3-3cb7b78e416b	C239.TCGA-04-1331-10A-01W.5_gdc_realn.bam	27416167597	TCGA-04-1331	10A	blood_normal	1	2
21fc93b7-e01a-4942-ba6b-c9a5028c4e60	C239.TCGA-04-1332-10A-01W.2_gdc_realn.bam	12146475680	TCGA-04-1332	10A	blood_normal	1	2
e808da74-8ace-4a6c-b3b1-16eec896353b	C239.TCGA-04-1341-10A-01W.6_gdc_realn.bam	18560652448	TCGA-04-1341	10A	blood_normal	1	2
65188600-0933-4b7b-9cdd-eac182199770	C239.TCGA-04-1343-10A-01W.2_gdc_realn.bam	22154286574	TCGA-04-1343	10A	blood_normal	1	2
d5fee498-bc60-41c7-8421-b536f9fb96e5	C239.TCGA-04-1362-10A-01W.3_gdc_realn.bam	19508504262	TCGA-04-1362	10A	blood_normal	1	2
955db356-a264-4171-b50b-9dc9ac5c5fa7	C239.TCGA-04-1367-10A-01W.11_gdc_realn.bam	30842606098	TCGA-04-1367	10A	blood_normal	1	2
bdf1dee8-b00a-43ef-a3a1-584aaffd9596	C347.TCGA-05-4244-10A-01D-1105-08.5_gdc_realn.bam	16091173025	TCGA-05-4244	10A	blood_normal	1	2
