State,Last modified,Size,Name,ID,
closed,2022-05-29 07:38:26,40.83 KB,1199993_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB9fXG8JvP3Y9qxFPq5g9g6F,
closed,2022-05-29 07:38:26,280.18 KB,1199993_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB9fXFjJvP3vypQF58x2k0G8,
closed,2022-05-29 07:37:08,34.53 KB,1110710_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB9fVjjJz4Ybzf5JPV41gjkV,
closed,2022-05-29 07:37:08,269.60 KB,1110710_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB9fVj8Jz4YV634PB1ZyVXq9,
closed,2022-05-29 07:35:58,50.33 KB,1199978_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB9fV78Jk8V2bYBZ6yqf1Q4x,
closed,2022-05-29 07:35:58,379.86 KB,1199978_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB9fV6QJk8V2j4y7PgVQGkg4,
closed,2022-05-29 07:33:58,270.48 KB,1199960_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB9fQ8QJ8Jkjy5xfPqZ8XQ4k,
closed,2022-05-29 07:33:58,38.71 KB,1199960_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB9fQ98J8Jky4Jq1F04GKgzk,
closed,2022-05-29 07:33:37,268.99 KB,1109482_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB9fQ3QJBPjbzf5JPV41gjgG,
closed,2022-05-29 07:33:37,37.64 KB,1109482_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB9fQ40JBPjk3fGk0X8j9vQ6,
closed,2022-05-29 07:24:49,28.80 KB,1199955_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB9fG00J1JK03FfB6z066f6Y,
closed,2022-05-29 07:24:49,206.88 KB,1199955_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB9fFz8J1JK39qxFPq5g9fpp,
closed,2022-05-29 07:22:47,31.63 KB,1141090_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB9fF1QJ7pjvQ6gbPZ60XQg3,
closed,2022-05-29 07:22:47,223.52 KB,1141090_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB9fF10J7pjQb328Pfx1BBP6,
closed,2022-05-29 07:22:46,202.68 KB,1199934_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB9fF0QJP0YVy268Pp1jxG0B,
closed,2022-05-29 07:22:46,28.04 KB,1199934_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB9fF10JP0YQ3b1y072zQygF,
closed,2022-05-29 07:09:00,237.27 KB,1154346_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB9f4X8J54f39qxFPq5g9fb5,
closed,2022-05-29 07:09:00,31.85 KB,1154346_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB9f4XjJ54f5f740Pyv9P2yZ,
closed,2022-05-29 07:06:44,221.52 KB,1188899_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB9f3Q0JXzFq9xV6Pz2Zj72F,
closed,2022-05-29 07:06:44,30.24 KB,1188899_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB9f3QjJXzFXZ96fPX7Kf37q,
closed,2022-05-28 09:09:27,303.24 KB,1199176_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92p0jJ0z8x12GQPKpQJZGf,
closed,2022-05-28 09:09:27,36.08 KB,1199176_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92p1QJ0z8Z51KxPfYygFPy,
closed,2022-05-28 09:08:31,290.16 KB,1199391_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92kXjJGBJq9xV6Pz2ZXxgZ,
closed,2022-05-28 09:08:31,36.34 KB,1199391_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92kYQJGBJy160vPX48f52f,
closed,2022-05-28 09:08:04,293.57 KB,1199410_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92kG8J1Zxj5zGX0zq5x4ZY,
closed,2022-05-28 09:08:04,36.24 KB,1199410_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92kGjJ1ZxVy268Pp1jgY7Q,
closed,2022-05-28 09:05:39,302.44 KB,1198809_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92j80JG1JPV2qZ04v9g03F,
closed,2022-05-28 09:05:39,35.83 KB,1198809_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92j8QJG1J0VVVjPq2717Yx,
closed,2022-05-28 09:05:30,33.88 KB,1198423_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92j68J5JZQVVVjPq2717Yb,
closed,2022-05-28 09:05:30,277.85 KB,1198423_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92j5jJ5JZq1xkP58BQVv4G,
closed,2022-05-28 09:04:51,269.26 KB,1199786_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92gv0JZVJ6231X6yz6GjQ7,
closed,2022-05-28 09:04:51,33.54 KB,1199786_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92gvjJZVJ7gYxfPX64bz04,
closed,2022-05-28 09:03:08,33.42 KB,1199461_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92g2jJqqpb11p4579jG789,
closed,2022-05-28 09:03:08,271.82 KB,1199461_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92g28Jqqpjy5xfPqZ8BpVP,
closed,2022-05-28 09:03:02,34.57 KB,1199637_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92g18JZ6kXZYjZPP6yJk8j,
closed,2022-05-28 09:03:02,270.49 KB,1199637_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92g0jJZ6kqbFXJPZ74k8qb,
closed,2022-05-28 09:01:14,36.48 KB,1198514_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92f60J9Z5Xj4y7PgVQ6PKk,
closed,2022-05-28 09:01:14,290.85 KB,1198514_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92f5QJ9Z5g9F7KPZxv8zpx,
closed,2022-05-28 09:00:37,281.48 KB,1199503_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92bv8JVKJvypQF58x2Y820,
closed,2022-05-28 09:00:37,40.23 KB,1199503_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92bx0JVKJkZX1XPZ9fbf8g,
closed,2022-05-28 08:59:55,34.36 KB,1199666_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92bXQJJJ2FGpF4Pq5P9gv0,
closed,2022-05-28 08:59:55,271.18 KB,1199666_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92bVjJJJ212Yv0PP3fk9Py,
closed,2022-05-28 08:59:53,30.16 KB,1199148_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92bX0JxK99ZX1XPZ9fbf89,
closed,2022-05-28 08:59:53,230.41 KB,1199148_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92bV8JxK92ypjJ57k8BBxx,
closed,2022-05-28 08:59:52,33.45 KB,1199298_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92bVjJFbk2ZYjZPP6yJk5p,
closed,2022-05-28 08:59:52,251.22 KB,1199298_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92bV0JFbkFjP7FPpGZqFKp,
closed,2022-05-28 08:59:46,270.48 KB,1199483_23143_0_0.mapq0.soft-filtered.vcf.gz,file-GB92bPQJK6pbz656PZK331PQ,
closed,2022-05-28 08:59:46,36.17 KB,1199483_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92bQ8JK6pxF3g15BYXZXZx,
closed,2022-05-28 08:59:45,35.04 KB,1199125_23143_0_0.mapq0.soft-filtered.vcf.gz.tbi,file-GB92bQ0JF3gq1xkP58BQVqy5,
