State,Last modified,Size,Name,ID,
closed,2022-09-11 07:43:07,36.07 KB,1499880_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxPVjJX00x7xkz1v3BP9z1,
closed,2022-09-11 07:43:07,5.51 KB,1499880_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxPX8JX00QqF771yZP453P,
closed,2022-09-11 07:42:43,35.18 KB,1499931_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxPFQJKF3g8j8F1qkpBgp4,
closed,2022-09-11 07:42:43,5.47 KB,1499931_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxPG0JKF3xYPjgJXzyQpZ5,
closed,2022-09-11 07:42:41,35.62 KB,1499950_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxPF8Jq83BqfxZFkK4V80Z,
closed,2022-09-11 07:42:41,5.89 KB,1499950_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxPG0Jq83250PB1yvb0PY2,
closed,2022-09-11 07:42:37,35.09 KB,1499973_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxPBQJZy1gPgV43Y8XP1jJ,
closed,2022-09-11 07:42:37,5.32 KB,1499973_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxPF0JZy1fG4731qKJ8VXQ,
closed,2022-09-11 07:42:30,35.13 KB,1499947_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxP8QJb3VQgzj2Jk7qyY8y,
closed,2022-09-11 07:42:30,5.41 KB,1499947_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP98Jb3Vx4XvfFx1f5X29,
closed,2022-09-11 07:42:27,33.92 KB,1499904_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxP7jJpPFjx124J7yK8450,
closed,2022-09-11 07:42:27,5.34 KB,1499904_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP88JpPFkg41v1v07pgGQ,
closed,2022-09-11 07:42:24,34.69 KB,1499758_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxP78J3QbjV92kFpbQFY89,
closed,2022-09-11 07:42:24,5.25 KB,1499758_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP7jJ3Qbvv2XKJ3v388Yk,
closed,2022-09-11 07:42:21,34.00 KB,1499852_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxP68JfpYpzjz5Fp66fzY5,
closed,2022-09-11 07:42:21,5.44 KB,1499852_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP6jJfpYkX47V1z71By5J,
closed,2022-09-11 07:42:16,38.54 KB,1499722_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxP50JggXfVJJ58f8k9bFf,
closed,2022-09-11 07:42:16,6.26 KB,1499722_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP5jJggXvv2XKJ3v388Yg,
closed,2022-09-11 07:42:15,35.20 KB,1499846_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxP4jJf543zbvXJZFPxkkb,
closed,2022-09-11 07:42:15,5.29 KB,1499846_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP5QJf54GQGk87vK3z54x,
closed,2022-09-11 07:42:14,36.43 KB,1499863_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxP4QJg6877jYX7zq7xPG1,
closed,2022-09-11 07:42:14,5.95 KB,1499863_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP58Jg68KKzQv8v9k7pxF,
closed,2022-09-11 07:42:10,34.70 KB,1499774_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxP38J8XG381VX8v61k0YG,
closed,2022-09-11 07:42:10,5.56 KB,1499774_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP40J8XG3233Q8v39bkjf,
closed,2022-09-11 07:42:08,35.61 KB,1499736_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxP30J4y6Y233Q8v39bkjZ,
closed,2022-09-11 07:42:08,5.30 KB,1499736_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP3jJ4y6p8jGzFz09G5ZB,
closed,2022-09-11 07:41:58,34.11 KB,1499767_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxP0QJP02F8k7y7qJkYQ7z,
closed,2022-09-11 07:41:58,5.41 KB,1499767_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP10JP024QyXg7f8Qq44q,
closed,2022-09-11 07:41:55,5.56 KB,1499681_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxP0QJ6XPF79q6JVqkk2GB,
closed,2022-09-11 07:41:55,34.96 KB,1499681_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKzjJ6XP0qF771yZP4531,
closed,2022-09-11 07:41:51,36.54 KB,1499669_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKyjJYkXJZjqvJYXzkZJY,
closed,2022-09-11 07:41:51,5.61 KB,1499669_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKz8JYkX2Xj5P8yGXz6x0,
closed,2022-09-11 07:41:37,5.35 KB,1499632_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKv0J66b0j5F0Jjv6k149,
closed,2022-09-11 07:41:37,34.27 KB,1499632_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKq8J66b3bqVxJV03PvX2,
closed,2022-09-11 07:41:36,34.81 KB,1499625_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKpjJqB8gPGpJJVkzjxyJ,
closed,2022-09-11 07:41:36,5.71 KB,1499625_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKqQJqB8YGf5GFpvbp5qq,
closed,2022-09-11 07:41:33,33.87 KB,1499648_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKp8JpP7KfGg1J52qgzq9,
closed,2022-09-11 07:41:33,5.27 KB,1499648_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKq0JpP79x02QJY3P45vB,
closed,2022-09-11 07:41:33,5.91 KB,1499287_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKpjJQ0X357gfPjv9Jx1f,
closed,2022-09-11 07:41:33,35.57 KB,1499287_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKp8JQ0XB8jGzFz09G5YY,
closed,2022-09-11 07:41:30,34.52 KB,1499600_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKkQJGZY333JB7vZfggGK,
closed,2022-09-11 07:41:30,5.51 KB,1499600_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKp8JGZY0B61QJ42ZbVvj,
closed,2022-09-11 07:41:30,5.30 KB,1499508_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKp0JJ683YjK41y28g8vK,
closed,2022-09-11 07:41:30,34.87 KB,1499508_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKkQJJ68250PB1yvb0PXg,
closed,2022-09-11 07:41:29,33.79 KB,1499613_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKk8JxG81gf227fyvYFJj,
closed,2022-09-11 07:41:29,5.38 KB,1499613_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKp0JxG82QpkfPjbZPgjb,
closed,2022-09-11 07:41:27,35.56 KB,1499430_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKjjJp9j9Yq8F1y7Jv1Gz,
closed,2022-09-11 07:41:27,5.77 KB,1499430_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKkQJp9j1G6FY8gV5Ky0Q,
closed,2022-09-11 07:41:27,35.37 KB,1499385_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKjjJjyYYGf5GFpvbp5qg,
closed,2022-09-11 07:41:27,5.33 KB,1499385_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKk8JjyYf8FqY8gP4B8fy,
closed,2022-09-11 07:41:26,34.63 KB,1499514_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKjQJBy9Qgzj2Jk7qyY8Y,
closed,2022-09-11 07:41:26,5.54 KB,1499514_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKk8JBy9p8jGzFz09G5YV,
closed,2022-09-11 07:41:24,35.33 KB,1499368_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKj0JPKGFKk7480z51bxp,
closed,2022-09-11 07:41:24,5.46 KB,1499368_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKjjJPKG2P23XJ4q64v1F,
closed,2022-09-11 07:41:22,34.31 KB,1499464_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKgQJXYpFKk7480z51bxj,
closed,2022-09-11 07:41:22,5.38 KB,1499464_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKj8JXYpG6fvf1vqvzB02,
closed,2022-09-11 07:41:18,33.68 KB,1499349_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKfQJY36zkqGv8qjpjZGP,
closed,2022-09-11 07:41:18,4.95 KB,1499349_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKg8JY36f0FJ4J4j257JB,
closed,2022-09-11 07:41:13,5.36 KB,1499293_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKbQJb5P9g41v1v07pgG3,
closed,2022-09-11 07:41:13,34.29 KB,1499293_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKb0Jb5PF10gz1xqvfX1y,
closed,2022-09-11 07:41:12,36.99 KB,1499278_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKb0JgVKvQGk87vK3z547,
closed,2022-09-11 07:41:12,5.56 KB,1499278_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKbjJgVKxZjqvJYXzkZJ9,
closed,2022-09-11 07:41:11,36.23 KB,1499035_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKZjJGFxBbfpVFzBp63KB,
closed,2022-09-11 07:41:11,5.75 KB,1499035_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKbQJGFxGv2XKJ3v388Y8,
closed,2022-09-11 07:41:04,5.51 KB,1499415_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKYjJX2VXP23XJ4q64v17,
closed,2022-09-11 07:41:04,34.62 KB,1499415_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKY0JX2VV84k06Y223Z7F,
closed,2022-09-11 07:41:04,5.13 KB,1499226_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKYjJyByVQkXqJk26JJQG,
closed,2022-09-11 07:41:04,34.08 KB,1499226_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKY0JyByZqQy71yZf3Zjv,
closed,2022-09-11 07:41:02,35.59 KB,1499255_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKX8JXVz9ggXfJ5621Gz1,
closed,2022-09-11 07:41:02,5.59 KB,1499255_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKY0JXVz3233Q8v39bkj5,
closed,2022-09-11 07:40:56,34.76 KB,1499260_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKV0JPpgF48f6JYp88v7Z,
closed,2022-09-11 07:40:56,5.47 KB,1499260_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKVjJPpg9gbBq8qKPVzgF,
closed,2022-09-11 07:40:49,34.24 KB,1499083_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKP8JGZb8V92kFpbQFY7f,
closed,2022-09-11 07:40:49,5.22 KB,1499083_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKQ0JGZb3yBpq81P3b1ff,
closed,2022-09-11 07:40:49,35.04 KB,1499151_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKP8Jf07P00Z91xkP5XFG,
closed,2022-09-11 07:40:49,5.46 KB,1499151_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKPjJf074QyXg7f8Qq448,
closed,2022-09-11 07:40:48,33.80 KB,1499099_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKP0J27VQ8YJqFp5P1xF6,
closed,2022-09-11 07:40:48,5.37 KB,1499099_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKPQJ27VfZxfkJVK39YjF,
closed,2022-09-11 07:40:44,35.73 KB,1499056_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKK0J11PkYq8F1y7Jv1GJ,
closed,2022-09-11 07:40:44,5.64 KB,1499056_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKKjJ11PzVzbJFxzXPy7P,
closed,2022-09-11 07:40:34,5.39 KB,1499118_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKG8J97xJ6P91G570vkY2,
closed,2022-09-11 07:40:34,34.45 KB,1499118_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxKFQJ97x0B61QJ42ZbVvG,
closed,2022-09-11 07:40:28,5.88 KB,1498919_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKB8J8YPQqF771yZP452b,
closed,2022-09-11 07:40:28,35.35 KB,1498919_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxK9jJ8YPbb57zJ4g663kq,
closed,2022-09-11 07:40:27,35.11 KB,1499028_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxK9jJZx4y2Z418qvFP722,
closed,2022-09-11 07:40:27,5.50 KB,1499028_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKBQJZx4V3bZ2J3qZzYFP,
closed,2022-09-11 07:40:26,35.91 KB,1498987_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxK9QJbjY80vzF8fQ33f0y,
closed,2022-09-11 07:40:26,5.74 KB,1498987_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxKB0JbjY0qP0jPjp1Zj50,
closed,2022-09-11 07:40:18,33.99 KB,1498978_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxK7QJV5bBbJbjJVQGyz9F,
closed,2022-09-11 07:40:18,5.45 KB,1498978_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxK80JV5b20ZJXJ4jxY85z,
closed,2022-09-11 07:40:17,34.15 KB,1499007_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxK78Jz4kQgzj2Jk7qyY7X,
closed,2022-09-11 07:40:17,5.30 KB,1499007_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxK80Jz4kxbzBk1qpp2FQ1,
closed,2022-09-11 07:40:14,34.68 KB,1498942_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxK6QJf9pGV7K81yykZv28,
closed,2022-09-11 07:40:14,5.39 KB,1498942_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxK70Jf9pG6fvf1vqvz9zf,
closed,2022-09-11 07:40:13,33.74 KB,1498833_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxK68JVxY4QyXg7f8Qq43y,
closed,2022-09-11 07:40:13,5.44 KB,1498833_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxK70JVxY9P41f80bfqgz7,
closed,2022-09-11 07:40:12,34.33 KB,1499010_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxK60JJP19Yq8F1y7Jv1G7,
closed,2022-09-11 07:40:12,5.46 KB,1499010_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxK6jJJP1KvFkkJ7XgvBJ6,
closed,2022-09-11 07:40:08,5.50 KB,1498926_23153_0_0.normalized.mutect.filtered.vcf.gz.tbi,file-GGKxK5QJJ0gV84k06Y223Z70,
closed,2022-09-11 07:40:08,35.83 KB,1498926_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxK50JJ0gp73qKJkp9j4Xp,
closed,2022-09-11 07:40:05,36.39 KB,1498795_23153_0_0.normalized.mutect.filtered.vcf.gz,file-GGKxK48JJfj2P23XJ4q64v0V,
