State,Last modified,Size,Name,ID,
closed,2022-06-17 18:33:15,31.87 KB,2324626_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf37KjJYPFpVQGK190Fyjz2,
closed,2022-06-17 18:33:15,170.03 KB,2324937_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf36j8J0yzPFj04FQ608yp2,
closed,2022-06-17 18:33:15,27.42 KB,2324937_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf36k0J0yz0BFZz9PPB6XQK,
closed,2022-06-17 18:33:15,200.32 KB,2324905_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf36Z0JZF698j5gBb0qPZ0Q,
closed,2022-06-17 18:33:15,30.66 KB,2324905_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf36ZQJZF6PPBZBJPxJKYJV,
closed,2022-06-17 18:33:15,29.47 KB,2324763_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf36P0JJ31qkjYF249V19K6,
closed,2022-06-17 18:33:15,194.01 KB,2324763_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf36KQJJ31Qjj6VBbVFp241,
closed,2022-06-17 18:33:15,31.21 KB,2325127_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3JG8Jj56PQ4Gq8y9zxjQ8,
closed,2022-06-17 18:33:15,185.24 KB,2325267_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3GfQJQgv9V0GYJVFG8p4b,
closed,2022-06-17 18:33:15,28.35 KB,2325267_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3Gg0JQgv99XZx9gZkVKb3,
closed,2022-06-17 18:33:15,30.19 KB,2325139_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3ByjJP1vK4VFY9P0j6Z55,
closed,2022-06-17 18:33:15,205.44 KB,2325139_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3By0JP1vB163v27KvFZpP,
closed,2022-06-17 18:33:15,213.71 KB,2325290_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3Bx0JxGGPPBZBJPxJP746,
closed,2022-06-17 18:33:15,32.62 KB,2325290_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3BxQJxGGBq9J38bkGPV3V,
closed,2022-06-17 18:33:15,30.59 KB,2324920_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf395QJfJ24ZyPq8Z2f2yJB,
closed,2022-06-17 18:33:15,217.67 KB,2324920_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf394jJfJ22ZZX18yx1pKx0,
closed,2022-06-17 18:33:15,181.28 KB,2325017_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf38FQJQ5zQjj6VBbVFpbg8,
closed,2022-06-17 18:33:15,26.49 KB,2325017_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf38G8JQ5zyzvj92453pv64,
closed,2022-06-17 18:33:15,171.23 KB,2325075_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf38BQJK53byQ6V9PQQFF29,
closed,2022-06-17 18:33:15,25.81 KB,2325075_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf38F0JK53jf3y69Q0q4fXY,
closed,2022-06-17 18:33:15,218.23 KB,2324626_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf37K8JYPFxFgX924K570Xq,
closed,2022-06-17 18:33:15,25.64 KB,2325949_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3g9jJQ3kFJ91V17819xqY,
closed,2022-06-17 18:33:15,219.10 KB,2325330_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3bB8JGb0zX2788bGqFgXJ,
closed,2022-06-17 18:33:15,31.89 KB,2325330_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3bF0JGb0fpkg6FPx9Y8x8,
closed,2022-06-17 18:33:15,192.53 KB,2325418_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3Y28JqgGgjyb918yQ1bqp,
closed,2022-06-17 18:33:15,28.72 KB,2325418_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3Y3QJqgGjY0q0179fz2y7,
closed,2022-06-17 18:33:15,215.85 KB,2325420_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3VZjJPj82ZZX18yx1pP6z,
closed,2022-06-17 18:33:15,34.52 KB,2325420_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3VbQJPj89V0GYJVFG9Jq2,
closed,2022-06-17 18:33:15,253.37 KB,2325046_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3QKjJ4GB2ZZX18yx1pP5F,
closed,2022-06-17 18:33:15,36.39 KB,2325046_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3QP8J4GB6p3k5KZvZf2qQ,
closed,2022-06-17 18:33:15,26.76 KB,2325323_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3PkQJv0Gfp3k5KZvZf2pZ,
closed,2022-06-17 18:33:15,185.42 KB,2325323_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3PjjJv0GQjj6VBbVFqx0Q,
closed,2022-06-17 18:33:15,27.49 KB,2325203_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3JYjJy7GzZpYgBbKygPQq,
closed,2022-06-17 18:33:15,186.60 KB,2325203_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3JY0Jy7GzX2788bGqF396,
closed,2022-06-17 18:33:15,216.75 KB,2325127_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3JFjJj563jqQ0BbVZ0Y4J,
closed,2022-06-17 18:33:15,27.29 KB,2325970_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3pK0JxV0v1XJJ9fVQJzp4,
closed,2022-06-17 18:33:15,199.77 KB,2325748_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3pXQJV0GYjqQ0BbVZ0YYy,
closed,2022-06-17 18:33:15,29.58 KB,2325748_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3pY8JV0Gpvqvp8ZB5v33g,
closed,2022-06-17 18:33:15,246.39 KB,2325732_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3pX8JYZgz3bjY9KfZvxFK,
closed,2022-06-17 18:33:15,35.94 KB,2325732_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3pXjJYZgQ61x38yj5Zk21,
closed,2022-06-17 18:33:15,212.21 KB,2325957_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3kpjJ60PYY08bBbY8bZg1,
closed,2022-06-17 18:33:15,30.64 KB,2325957_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3kqQJ60Pq6ZQB0zkx180P,
closed,2022-06-17 18:33:15,261.18 KB,2325860_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3kBQJpQbKzvj92453v3v0,
closed,2022-06-17 18:33:15,38.16 KB,2325860_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3kF0JpQb3fGGz176z53xV,
closed,2022-06-17 18:33:15,32.04 KB,2325341_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3jk8J5g37pyB123qPKx18,
closed,2022-06-17 18:33:15,213.93 KB,2325341_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3jjjJ5g3PQQXXFPqYyxgb,
closed,2022-06-17 18:33:15,179.44 KB,2325834_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3gkjJQjVKzvj92453v3jf,
closed,2022-06-17 18:33:15,27.26 KB,2325834_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3gp8JQjV3fGGz176z53Gg,
closed,2022-06-17 18:33:15,161.80 KB,2325949_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3g90JQ3k5Y7BXJV8ZyGxZ,
closed,2022-06-17 18:33:15,28.35 KB,2326081_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3x7jJV3f42Qqz1825jxkF,
closed,2022-06-17 18:33:15,195.91 KB,2326081_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3x70JV3fBVQGK190G17zG,
closed,2022-06-17 18:33:15,231.61 KB,2325893_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3vxQJgB2BVJ18KZ77jq05,
closed,2022-06-17 18:33:15,35.07 KB,2325893_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3vy0JgB20fP17KY5qk7ff,
closed,2022-06-17 18:33:15,27.54 KB,2326032_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3vX0Jy4j1bkV090ZpyXY1,
closed,2022-06-17 18:33:15,187.33 KB,2326032_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3vV8Jy4jKPqJxKYF6Fg0b,
closed,2022-06-17 18:33:15,260.86 KB,2325211_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3vP8J0xpjY0q0179fzfxp,
closed,2022-06-17 18:33:15,33.23 KB,2325211_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3vPjJ0xpfjK7vJYxJP9q3,
closed,2022-06-17 18:33:15,211.80 KB,2325405_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3v8QJg0qpQ6x2JVkBp691,
closed,2022-06-17 18:33:15,29.94 KB,2325405_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3v98Jg0qp163v27KvFg04,
closed,2022-06-17 18:33:15,28.02 KB,2326025_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3qG0Jk66zXbXv25xkkQ5Z,
closed,2022-06-17 18:33:15,182.74 KB,2326025_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3qF8Jk66pq9J38bkGVzp4,
closed,2022-06-17 18:33:15,233.79 KB,2325388_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3q10JqFz7jyb918yQ4gpp,
closed,2022-06-17 18:33:15,32.09 KB,2325388_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3q1jJqFzPX2788bGqJXJ7,
closed,2022-06-17 18:33:15,173.15 KB,2325970_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3pJ8JxV0k8j5gBb0qPZfx,
closed,2022-06-17 18:33:15,34.29 KB,2326097_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf410jJ3zKJK9Q08b6pgbXB,
closed,2022-06-17 18:33:15,242.28 KB,2326097_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf4108J3zKPXbXv25xkp47F,
closed,2022-06-17 18:33:15,175.24 KB,2326304_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf40JQJZ9v7jyb918yQ4j5Y,
closed,2022-06-17 18:33:15,26.72 KB,2326304_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf40K0JZ9vKPqJxKYF6Fgkg,
closed,2022-06-17 18:33:15,41.65 KB,2325781_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf4078J60XPZpYgBbKyjjYX,
closed,2022-06-17 18:33:15,294.27 KB,2325781_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf406jJ60X5JGzJKY7jqBy0,
closed,2022-06-17 18:33:15,215.55 KB,2325994_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf4078J5qpQfP17KY5qk7vz,
closed,2022-06-17 18:33:15,29.62 KB,2325994_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf407jJ5qpbJGzJKY7jqBy2,
closed,2022-06-17 18:33:15,265.50 KB,2325635_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3zFjJpzBXBK6kFKxZbkBv,
closed,2022-06-17 18:33:15,36.35 KB,2325635_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3zGQJpzBz3bjY9KfZy4j5,
closed,2022-06-17 18:33:15,225.08 KB,2326209_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3yj8J577XzgFv8zYJPz68,
closed,2022-06-17 18:33:15,34.99 KB,2326209_23143_0_0.vardict.final.annotated.vcf.gz.tbi,file-GBf3yjjJ577zPBZBJPxJVf6J,
closed,2022-06-17 18:33:15,256.46 KB,2326102_23143_0_0.vardict.final.annotated.vcf.gz,file-GBf3y3jJFYqPFz679p6kb9gP,
