batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
4749525	4749525_23153_0_0.cram.crai	4749525_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby7xjJv2VfbJq23kb8zvjB	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby850Jv2VQ5xP83jXBJg7p
4749532	4749532_23153_0_0.cram.crai	4749532_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyGBjJ4730ZfJQ3kvV7jVJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyGF0J473JQqfk3jJYVfQ7
4749548	4749548_23153_0_0.cram.crai	4749548_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybzy78J6615j06Y3jy23v1Z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybzy7QJ661G4jfV3jbZZb2b
4749576	4749576_23153_0_0.cram.crai	4749576_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvv38JQbFP6V3k3kzV0ZGX	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvqp0JQbFKxx324vBY0b3Q
4749608	4749608_23153_0_0.cram.crai	4749608_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxfjJ4zgpXXQZ3kp073gG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvxg0J4zgQyB833kVX9KkY
4749614	4749614_23153_0_0.cram.crai	4749614_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxY5jJY22Y6fz03jJVf902	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxY60JY22kb4843jZpX0bf
4749653	4749653_23153_0_0.cram.crai	4749653_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5zQJYq8FJqj13pX3qJ8G	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby600JYq81v92p3jFzgPKp
4749716	4749716_23153_0_0.cram.crai	4749716_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxGZQJgYk6QX8B3kyz0fgK	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxGZjJgYk9XYqQ3jxxK6q3
4749750	4749750_23153_0_0.cram.crai	4749750_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf19V0JQkFpZkpz3kYVKQqK	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf19VjJQkFb7v96P5VP7fkK
4749773	4749773_23153_0_0.cram.crai	4749773_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz878Jq8Q3y25J9XJb5fjY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz87QJq8QBXXQZ3kp07ZY3
4749782	4749782_23153_0_0.cram.crai	4749782_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpJ8JZYj8qy9P3j9QQ6Z2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpJQJZYj2Kg6V3jYvqp7P
4749815	4749815_23153_0_0.cram.crai	4749815_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf108QJj9Qz6V3k3kzV1Gx4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1098Jj9Qb7v96P5VP7bqj
