State,Last modified,Size,Name,ID,
closed,2022-08-18 13:25:53,286.27 KB,5599147_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz7G2jJ347gB5fb4xX8pB90,
closed,2022-08-18 13:25:53,905.27 KB,5599147_23143_0_0.normal.pileup.vcf.gz,file-GFz7G40J347Qv6FK4vYbqJvF,
closed,2022-08-18 13:25:53,33.77 KB,5599147_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz7G38J347ZjZ244x0pQfX5,
closed,2022-08-18 13:25:01,32.77 KB,5597405_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz7Ff8JfKv7X4xp4vFJbYVZ,
closed,2022-08-18 13:25:01,888.75 KB,5597405_23143_0_0.normal.pileup.vcf.gz,file-GFz7FfjJfKvB886Y4pQgqvgz,
closed,2022-08-18 13:25:01,283.62 KB,5597405_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz7FbQJfKv77gV94pzQYjXp,
closed,2022-08-18 13:24:15,31.71 KB,5580504_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz7FF0J48xy63Y451ZygppQ,
closed,2022-08-18 13:24:15,292.04 KB,5580504_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz7FB8J48xxQ2k44v0k24fx,
closed,2022-08-18 13:24:15,936.11 KB,5580504_23143_0_0.normal.pileup.vcf.gz,file-GFz7FFQJ48xZ47Xp4qj7pP10,
closed,2022-08-18 13:23:55,292.04 KB,5580504_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz7Bg8JJkpXQxJy4q7kbX9j,
closed,2022-08-18 13:23:55,936.11 KB,5580504_23143_0_0.normal.pileup.vcf.gz,file-GFz7BjQJJkpv298z4vB9qfQK,
closed,2022-08-18 13:23:55,31.71 KB,5580504_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz7Bj0JJkpg7bGf4qBbJZ6f,
closed,2022-08-18 13:23:28,29.43 KB,5592991_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz7Bz8Jf3Yg6Gz94v14yk9q,
closed,2022-08-18 13:23:28,256.45 KB,5592991_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz7ByQJf3Yxzby34vPy2yf1,
closed,2022-08-18 13:23:28,807.36 KB,5592991_23143_0_0.normal.pileup.vcf.gz,file-GFz7BzjJf3Yp4ygz4ky2XFjF,
closed,2022-08-18 13:23:20,944.71 KB,5584374_23143_0_0.normal.pileup.vcf.gz,file-GFz7BxjJvVQfFX564vgxxj20,
closed,2022-08-18 13:23:20,32.78 KB,5584374_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz7Bx0JvVQZjZ244x0pQfF7,
closed,2022-08-18 13:23:20,296.96 KB,5584374_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz7BvQJvVQp886Y4pQgqvZ1,
closed,2022-08-18 13:17:04,32.78 KB,5584374_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz77z0JFkYfy3fY52QyPj67,
closed,2022-08-18 13:17:04,944.71 KB,5584374_23143_0_0.normal.pileup.vcf.gz,file-GFz77zQJFkYyPkqy4pg42f46,
closed,2022-08-18 13:17:04,296.96 KB,5584374_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz77yQJFkYvZqV74q99xvJ5,
closed,2022-08-18 12:49:13,33.35 KB,5599988_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6px8J51g62Xv34pK4X2b8,
closed,2022-08-18 12:49:13,938.64 KB,5599988_23143_0_0.normal.pileup.vcf.gz,file-GFz6pxjJ51g7X4xp4vFJZ8vk,
closed,2022-08-18 12:49:13,297.18 KB,5599988_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6pvjJ51g3B9B6528XJ29J,
closed,2022-08-18 12:48:31,41.23 KB,5599902_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6pX8JJK2FQ3804qkVXX44,
closed,2022-08-18 12:48:31,334.20 KB,5599902_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6pVjJJK2G298z4vB9pzV7,
closed,2022-08-18 12:48:31,1.01 MB,5599902_23143_0_0.normal.pileup.vcf.gz,file-GFz6pXjJJK23X3xV523jY7vb,
closed,2022-08-18 12:48:16,878.48 KB,5599557_23143_0_0.normal.pileup.vcf.gz,file-GFz6p30Jqk4Qv6FK4vYbkPgP,
closed,2022-08-18 12:48:16,33.90 KB,5599557_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6p2QJqk4g90v14pq06fy6,
closed,2022-08-18 12:48:16,285.77 KB,5599557_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6p0jJqk4qJqq54q99Q4v0,
closed,2022-08-18 12:47:56,33.10 KB,5599889_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6p9QJ7Ppp4ygz4ky2X8XK,
closed,2022-08-18 12:47:56,973.88 KB,5599889_23143_0_0.normal.pileup.vcf.gz,file-GFz6pB8J7Ppkff3Q4xvY4Xj7,
closed,2022-08-18 12:47:56,305.62 KB,5599889_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6p90J7PpgX4xp4vFJZ8q4,
closed,2022-08-18 12:47:23,705.50 KB,5599799_23143_0_0.normal.pileup.vcf.gz,file-GFz6p2QJBz4P56Vb4p8v6qBQ,
closed,2022-08-18 12:47:23,27.54 KB,5599799_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6p20JBz4BV0XX4qxpyzQ7,
closed,2022-08-18 12:47:23,226.57 KB,5599799_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6p18JBz4PVvyj4qqJFvV5,
closed,2022-08-18 12:47:21,0.99 MB,5599652_23143_0_0.normal.pileup.vcf.gz,file-GFz6p1jJ2FvkX60P4ppVjxZJ,
closed,2022-08-18 12:47:21,33.22 KB,5599652_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6p18J2Fvf7Q374qYy2fBg,
closed,2022-08-18 12:47:21,314.52 KB,5599652_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6p0jJ2FvV0Pp44qxP0PJg,
closed,2022-08-18 12:47:14,36.15 KB,5599761_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6kzQJPv502VPb4xQBfqXb,
closed,2022-08-18 12:47:14,961.77 KB,5599761_23143_0_0.normal.pileup.vcf.gz,file-GFz6p00JPv5Kb4574qGGXZ0P,
closed,2022-08-18 12:47:14,309.32 KB,5599761_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6kz0JPv50Kb0G4pFbbZgY,
closed,2022-08-18 12:47:09,954.03 KB,5599783_23143_0_0.normal.pileup.vcf.gz,file-GFz6kyjJX1z46pFZ4q986850,
closed,2022-08-18 12:47:09,301.44 KB,5599783_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6kxQJX1z9JJ8J4pVvX6jV,
closed,2022-08-18 12:47:09,32.20 KB,5599783_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6ky8JX1z937x34qKGk0fF,
closed,2022-08-18 12:47:08,279.80 KB,5598818_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6kx0Jz3KX87g74qjjGY9g,
closed,2022-08-18 12:47:08,32.13 KB,5598818_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6kxjJz3Kk37x34qKGk0f9,
closed,2022-08-18 12:47:08,884.75 KB,5598818_23143_0_0.normal.pileup.vcf.gz,file-GFz6ky8Jz3Kf7Q374qYy2fB9,
closed,2022-08-18 12:47:02,336.06 KB,5598507_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6kqjJq8Qk3FGy4qV4vq4X,
closed,2022-08-18 12:47:02,1.03 MB,5598507_23143_0_0.normal.pileup.vcf.gz,file-GFz6kx0Jq8QfJ11j52b4vxJ5,
closed,2022-08-18 12:47:02,38.84 KB,5598507_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6kvQJq8Qky5pY4v4zFJ5j,
closed,2022-08-18 12:46:47,900.84 KB,5599568_23143_0_0.normal.pileup.vcf.gz,file-GFz6kk8JyyVK246Q4qQvbGBK,
closed,2022-08-18 12:46:47,34.46 KB,5599568_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6kjQJyyVJb2684px0Bg5q,
closed,2022-08-18 12:46:47,292.44 KB,5599568_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6kgjJyyVBY0V74pb07pfZ,
closed,2022-08-18 12:46:45,31.54 KB,5599585_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6kj8JBYB7j7K64q59qjxY,
closed,2022-08-18 12:46:45,914.34 KB,5599585_23143_0_0.normal.pileup.vcf.gz,file-GFz6kjjJBYB16K6z4xK5vG4x,
closed,2022-08-18 12:46:45,287.99 KB,5599585_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6kgQJBYB2j79G4q4F8x3y,
closed,2022-08-18 12:46:24,36.42 KB,5596786_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6kY0JyZ7qJqq54q99Q4pf,
closed,2022-08-18 12:46:24,934.42 KB,5596786_23143_0_0.normal.pileup.vcf.gz,file-GFz6kYQJyZ7jJzgq4v1pVk2b,
closed,2022-08-18 12:46:24,299.45 KB,5596786_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6kX8JyZ7kX60P4ppVjxXZ,
closed,2022-08-18 12:46:14,918.80 KB,5599232_23143_0_0.normal.pileup.vcf.gz,file-GFz6kV0JfF5k1KK64vG7J5gP,
closed,2022-08-18 12:46:14,32.17 KB,5599232_23143_0_0.mutect.msk.pon2.vcf.gz.tbi,file-GFz6kQ8JfF5k37x34qKGk0b8,
closed,2022-08-18 12:46:14,291.08 KB,5599232_23143_0_0.mutect.msk.pon2.vcf.gz,file-GFz6kPjJfF5QkQPp4pFj0zq7,
closed,2022-08-18 12:46:05,0.97 MB,5593054_23143_0_0.normal.pileup.vcf.gz,file-GFz6kP0JjVYBzBJy4v8Y7p5x,
