State,Last modified,Size,Name,ID,
closed,2022-08-18 18:55:36,28.85 KB,5588808_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvjf0Jv1Gg7bGf4qBb1XgB,
closed,2022-08-18 18:55:36,1.85 MB,5588808_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvjbQJv1Gqb72j4pkG12J1,
closed,2022-08-18 18:55:36,2.57 MB,5588730_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvg80Jj2Q3B9B6528X11jq,
closed,2022-08-18 18:55:36,37.04 KB,5588730_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvg8jJj2QB886Y4pQgGg24,
closed,2022-08-18 18:55:36,39.65 KB,5588649_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvg5QJ1k2Z6pFZ4q97xB24,
closed,2022-08-18 18:55:36,29.68 KB,5588612_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvKJ0J2Pf93FGy4qV4QZy3,
closed,2022-08-18 18:55:36,2.39 MB,5588422_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvJYjJ430PVvyj4qqJ14vy,
closed,2022-08-18 18:55:36,1.87 MB,5588376_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvBB8JZ40z9pBq4xjv63v9,
closed,2022-08-18 18:55:36,29.05 KB,5588376_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvBBjJZ40x3kP54pb84YvY,
closed,2022-08-18 18:55:36,2.05 MB,5588759_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvP90JFpy8g4z04qP2p2ZP,
closed,2022-08-18 18:55:36,32.07 KB,5588668_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvP1jJKY0FXQg74qjF6vq8,
closed,2022-08-18 18:55:36,2.17 MB,5588668_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvP18JKY09JJ8J4pVvBK3Y,
closed,2022-08-18 18:55:36,2.47 MB,5588580_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvKZQJXjpbP6Bf4v7y0Y2f,
closed,2022-08-18 18:55:36,39.25 KB,5588575_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvKJ8J2B46FX564vgxVKZG,
closed,2022-08-18 18:55:36,2.70 MB,5588575_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvKGQJ2B46x00Y4qy7fv50,
closed,2022-08-18 18:55:36,1.92 MB,5588612_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvKG8J2PfK63Y451ZyGkfj,
closed,2022-08-18 18:55:36,2.34 MB,5588474_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvKj8JKXff351J4pf5z09Q,
closed,2022-08-18 18:55:36,33.76 KB,5588474_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvKk8JKXfp10gf4vB1xBbY,
closed,2022-08-18 18:55:36,44.56 KB,5588633_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvKg8JXbF7B5fb4xX87zY9,
closed,2022-08-18 18:55:36,3.03 MB,5588633_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvKfQJXbF8Jzgq4v1p4KbB,
closed,2022-08-18 18:55:36,37.19 KB,5588580_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvKb8JXjpyPkqy4pg3j87q,
closed,2022-08-18 18:55:36,1.90 MB,5588777_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvPg0JyxK7811x4v4QY96Q,
closed,2022-08-18 18:55:36,30.66 KB,5588759_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvP9jJFpy6J11j52b4X1v8,
closed,2022-08-18 18:55:36,38.43 KB,5588354_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvK20J2Y8gB5fb4xX87zGg,
closed,2022-08-18 18:55:36,2.69 MB,5588354_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvK18J2Y8XKQ5z4qqQBFPG,
closed,2022-08-18 18:55:36,33.99 KB,5588509_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvJjjJ8QXY5QJq4q59VyVJ,
closed,2022-08-18 18:55:36,2.22 MB,5588509_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvJj8J8QXQ9yKg4pVX8BbJ,
closed,2022-08-18 18:55:36,36.09 KB,5588422_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvJZ8J430Jb2684pxPxz2g,
closed,2022-08-18 18:55:36,33.79 KB,5588552_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvfq8JGXJKz1j44xYvgv0Y,
closed,2022-08-18 18:55:36,2.27 MB,5588552_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvfpjJGXJ7B5fb4xX881XG,
closed,2022-08-18 18:55:36,32.51 KB,5588764_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvPy0J2vxX68744kk1YFFQ,
closed,2022-08-18 18:55:36,2.11 MB,5588764_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvPx0J2vxgjpQV4x5FPxpb,
closed,2022-08-18 18:55:36,29.77 KB,5588777_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvPgQJyxK5JjXx4vgGXx34,
closed,2022-08-18 18:55:36,2.67 MB,5588649_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvg50J1k2fy3fY52Qy4kgb,
closed,2022-08-18 18:55:36,45.44 KB,5588702_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvg4QJPz7xzby34vPxXFj0,
closed,2022-08-18 18:55:36,3.02 MB,5588702_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvg3jJPz7fQf2p4xV39vFx,
closed,2022-08-18 18:55:36,34.82 KB,5588685_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFyvg28JJ3bJ0g8k4qxqxjvX,
closed,2022-08-18 18:55:36,2.35 MB,5588685_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFyvg1jJJ3b7jpQV4x5FPyzJ,
closed,2022-08-18 13:36:43,2.22 MB,5597405_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz7V5jJ58KgpGP84kfX7Q9B,
closed,2022-08-18 13:36:43,33.34 KB,5597405_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz7V6QJ58KbJjXx4vgJ3xg2,
closed,2022-08-18 13:36:23,34.32 KB,5599147_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz7V1QJ76X6y3fY52QyQJQb,
closed,2022-08-18 13:36:23,2.25 MB,5599147_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz7V10J76XJb2684px0Gf73,
closed,2022-08-18 13:35:15,32.23 KB,5580504_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz7QQQJ20PGZqV74q99yXVb,
closed,2022-08-18 13:35:15,2.14 MB,5580504_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz7QPjJ20P9V7zG4qQF7FKJ,
closed,2022-08-18 13:34:22,29.92 KB,5592991_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz7Q30JqQ1XQxJy4q7kf7b3,
closed,2022-08-18 13:34:22,2.01 MB,5592991_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz7Q2QJqQ1xQ2k44v0k25z0,
closed,2022-08-18 13:34:17,33.38 KB,5584374_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz7Q1jJVBK7811x4v4V20B2,
closed,2022-08-18 13:34:17,2.34 MB,5584374_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz7Q10JVBK7B5fb4xX8pF42,
closed,2022-08-18 13:34:04,32.22 KB,5580504_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz7PyjJ7Kz6y3fY52QyQJ3J,
closed,2022-08-18 13:34:04,2.14 MB,5580504_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz7Py8J7Kz0KxZQ4v610V4j,
closed,2022-08-18 13:28:02,33.39 KB,5584374_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz7J3jJk5g0KxZQ4v610QX4,
closed,2022-08-18 13:28:02,2.34 MB,5584374_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz7J38Jk5g2BvzQ4pXP34Bg,
closed,2022-08-18 13:02:07,33.64 KB,5599889_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz70y8JXYjk3FGy4qV4y3Ky,
closed,2022-08-18 13:02:07,2.29 MB,5599889_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz70xQJXYjf351J4pf6FgPv,
closed,2022-08-18 13:02:06,2.88 MB,5599902_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz70yQJB4z937x34qKGk2gJ,
closed,2022-08-18 13:02:05,41.97 KB,5599902_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz70z0JB4z2JK584vxZG40k,
closed,2022-08-18 13:01:39,33.90 KB,5599988_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz70j8Jpq26Qf2p4xV3f1JJ,
closed,2022-08-18 13:01:39,2.35 MB,5599988_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz70gjJpq2Jzby34vPy27ZB,
closed,2022-08-18 13:00:34,2.33 MB,5599652_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz7078J4Qq02VPb4xQBfvPk,
closed,2022-08-18 13:00:34,33.79 KB,5599652_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz7080J4QqKVvxz4py72vQ1,
closed,2022-08-18 13:00:33,36.74 KB,5599761_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz7080Jq078Jzgq4v1pVpjk,
closed,2022-08-18 13:00:33,2.42 MB,5599761_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz7078Jq0777gV94pzQY2vv,
closed,2022-08-18 13:00:24,1.73 MB,5599799_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz7058Jkg5g90v14pq07FQ9,
closed,2022-08-18 13:00:24,27.99 KB,5599799_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz705jJkg5Z6pFZ4q987Q89,
closed,2022-08-18 13:00:15,32.12 KB,5599585_23143_0_0.mutect.vep.annotated.vcf.gz.tbi,file-GFz703QJX5GjJzgq4v1pVpgg,
closed,2022-08-18 13:00:15,2.21 MB,5599585_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz702jJX5GX1kB24qf4Kfk5,
closed,2022-08-18 13:00:02,2.21 MB,5599783_23143_0_0.mutect.vep.annotated.vcf.gz,file-GFz6zzQJVfb7B5fb4xX8kZKg,
